Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
Marco_Raina   23 ITA 25  2  2  2 20 967 113 428 378   6  17   0   0   0   0   0   0   0   0 100
Tiago_Djalo   27 por  2 16  7  3 32 187  88 688 429   6   0   3   4   1   0   0   2   0   0 100
David_Raum    28 ger  1 16  5  6 20 508  76 978 373   6   0   5   2   8   1   0   0   0   0  93
S_v_Den_Berg  24 hol  1 15  6  2 36 423 614 594 152   4   0   5   5   1   0   1  10   0   0  93
I_v_d_Brempt  25 bel  2 15  5  5 21  40 478 964 519   6   0   8   1   4   0   0   0   0   0  93
F_Gatti       28 ita  1 14  6  2 33 632 473 779 674   5   0   3   2   1   0   0   2   0   0 100
W_Ndidi       34 nig  2  5 17  3 35 260 118 921 130   5   0   0  10   2   0   0   0   0   0  93
Kai_Havertz   27 ger  1  2 17  8 24 277 557 838 599   5   0   0  12   7   0   0   0   0   0  93
Mario_Gotze   34 ger  1  1 16  7 22 262 274 233 903   6   0   0   8   1   0   1   0   0   0 100
Vitaly_Janelt 28 ger  1  7 16  3 34 423  87 789 462   5   0   3   7   3   0   0   4   0   0 100
A_Ibrahimovic 21 ger  1  1 16  6 16 260 773 256 232   6   0   0   8   0   0   0   0   0   0 100
F_Andrealli   20 ita  1  6 15  3 36 463 680 659 877   4   0   1   3   0   0   0   0   0   0  93
Mo_Salah      34 egy  1  2  6 21 20 419 635 438 341   6   0   0   1  28   3   0   2   0   0  93
Paulo_Dybala  33 arg  1  2  6 18 24 646 785 384 577   4   0   1   1  18   1   0   0   0   0  93
Ollie_Watkins 30 eng  1  2  5 16 24 360 771 477 457   1   0   0   1   1   0   0   0   0   0 100
Ricardo_Pepi  22 usa  1  4  5 15 28 489  54 476 683   6   0   0   0   5   0   0   0   0   0 100
