Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
I_Provodel    31 ita 18  1  1  1 20  10 273 273 273   5  18   0   0   0   0   0   0   0   0 100
E_Motta       21 ita 14  1  1  1 18 754 123 234 123   0   0   0   0   0   0   0   0   0   0 100
O_Provsthaard 22 den  1 16  6  1 36 321  60   7 517   5   0   4   1   2   0   0   2   0   0  78
Mario_Gila    25 spa  1 15  6  1 39 571 827 949 361   4   0   9   2   1   1   0   0   0   0  86
Adam_Marusic  33 mon  1 15  5  4 18 246  63 401 721   5   0   6   1   0   0   0   2   0   0  96
L_Pellegrini  26 ita  1 14  5  4 21 510 474 386 542   5   0   6   1   3   0   0   0   0   0  91
M_Lazzari     32 ita  1 14  5  5 18 273 760 391 428   3   0   4   0   2   1   0   0   0   0  93
Samuel_Gigot  32 fra  1 14  5  1 36 115 605 611 234   3   0   1   1   0   0   0   0   0   0  99
N_Rovella     24 fra  1  6 16  3 38 110 406 784 875   4   0   4   9   5   1   1   0   0   0  93
R_Belahyane   21 mor  1  5 16  2 34 581 478 343 942   4   0   0  10   0   0   1   2   0   0 100
A_Przyborek   19 pol  1  2 16  4 16 385 117  81 222   4   0   0   6   0   0   2   0   0   0  86
Dani_Maldini  24 ita  1  2 15  5 22 373 343 383 953   4   0   0  11   4   0   0   0   0   0  93
F_D-Bashiru   25 nig  1  2 14  5 24 735 673 500 236   1   0   0   3   1   0   1   0   0   0 100
D_Cataldi     31 ita  1  5 14  2 38 934  26 425 381   1   0   0   5   0   0   1   0   0   0 100
G_Isaksen     24 den  1  2  5 15 20 471 752 495 147   4   0   0   2  11   2   1   0   0   0  99
Boulaye_Dia   29 sen  1  4  5 15 32 331 680 402 960   4   0   0   3  11   4   1   0   0   0 100
T_Noslin      26 hol  1  2  5 14 22 283 799 768 430   4   0   1   4  15   1   0   2   0   0 100
M_Cancellieri 23 ita  1  2  4 15 20 315 529 611  77   5   0   0   0  15   2   0   4   0   0  93
