Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
L_Hradecky    37 fin 11  1  1  1 34 619 749 741 809   5  18   0   0   0   0   0   0   0   0 100
N_Lomb        33 ger 10  1  1  1 32  23 850 729 783   0   0   0   0   0   0   0   0   0   0 100
P_Hincapie    25 ecu  1 16  7  6 20 719 358 594 651   5   0   5   3   5   0   1   2   0   0  80
G_Scalvani    21 ita  1 15  6  2 34 677 507 385 674   5   0   7   4   1   0   0   0   0   0  80
J_Stanisic    27 cro  1 14  6  5 24 808 974 764 971   5   0   5   5   4   0   0   0   0   0  91
Alex_Grimaldo 31 spa  1 14  6  5 20 723 171 142 989   5   0   9   2   2   0   1   0   0   0  86
Jonathan_Tah  31 ger  1 12  6  2 39 706 752 208 186   3   0   2   2   1   1   0   2   0   0 100
S_Coleman     38 ire  1 11  5  4 20 786 536 400 838   2   0   1   0   0   0   0   0   0   0 100
Rob_Andrich   32 ger  1  4 18  7 24 852 399 432 338   5   0   1  14   6   2   0   0   0   0  80
Amine_Adli    27 mor  1  2 16  5 20 716 223 189 499   4   0   1   4   2   1   1   0   0   0 100
Nathan_Tella  27 nig  1  2 15  4 23 939 471 122 934   5   0   1   7   2   1   0   0   0   0  99
S_Djedovic    21 bos  1  6 15  5 32 585 410 415 190   4   0   1   5   2   0   0   0   0   0 100
J_Hofmann     34 ger  1  3 12  5 18 661 205  72 182   0   0   0   0   0   0   0   0   0   0 100
Granit_Xhaka  34 swi  1  7 11  3 34 852  49 371 487   0   0   0   0   0   0   0   0   0   0 100
Patrik_Schick 31 cze  1  2  6 19 28 729 360 479 447   5   0   0   2  12   0   1   0   0   0  80
Dwight_McNeil 27 eng  1  3  5 17 18 729 131 338 898   5   0   0   0  10   2   0   0   0   0  89
V_Boniface    26 nig  1  1  5 15 24 724 911 630   1   5   0   0   1   9   0   0   0   0   0  93
B_Iglesias    34 spa  1  1  5 12 20 674 764 275 565   2   0   0   1   1   0   0   0   0   0 100
