Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
G_Crettaz     25 arg 15  1  1  1 20  15 273 273 273   6  28   0   0   0   0   0   0   0   0 100
Rijk_Janse    23 hol 13  1  1  1 18 754 123 234 123   0   0   0   0   0   0   0   0   0   0 100
P_Sandler     28 hol  1 15  6  1 36 321  95   7 481   5   0   7   1   0   0   0   2   0   0  85
A_Kaplan      23 tun  1 14  5  1 39 571 772 951 304   6   0   5   2   0   0   0   0   0   0  94
B_Pereira     22 fra  1 14  5  1 41 510 526 374 487   6   0  11   1   0   0   0   0   0   0  93
T_Ouwejan     29 hol  1 14  5  4 18 246  72 425 744   4   0   6   2   1   0   0   0   0   0  94
D_Fonville    22 cur  1 13  5  5 18 273 761 451 362   3   0   4   3   0   0   0   2   0   0  94
Eli_Dasa      33 isr  1 13  5  1 36 115 657 590 234   3   0   4   0   0   0   0   0   0   0 100
Kodai_Sano    22 jap  1  3 14  4 28 110 364 727 743   3   0   2   4   0   0   0   0   0   0 100
Noe_Lebreton  21 fra  1  2 14  4 16 385 117  72 293   5   0   0   6   2   1   0   0   0   0 100
W_Willumsson  27 nor  1  2 13  5 20 581 481 257 945   4   0   0   2   0   0   0   0   0   0 100
D_Nejasmic    27 cro  1  5 13  2 32 373 343 301 892   4   0   0   3   0   0   0   0   0   0  94
Basar_Onal    21 tur  1  2 13  4 22 735 670 509 214   5   0   0   5   0   0   0   2   0   0 100
Sami_Ouaissa  21 hol  1  2 13  4 18 934  26 392 426   4   0   0   2   3   0   1   0   0   0 100
Koki_Ogawa    28 jap  1  4  5 14 28 471 778 490  48   5   0   1   3   2   0   0   0   0   0  85
Danilo        26 bra  1  3  5 13 32 331 704 352 895   5   0   1   2  12   0   0   2   0   0  94
Y_El_Kachati  26 mor  1  3  5 13 26 283 771 684 407   5   0   0   0  11   1   0   2   0   0 100
V_Misidjan    32 sur  1  1  4 14 20 315 535 617   7   5   0   0   0   9   1   0   0   0   0  84
