Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
L_Zingerie    31 ger 14  1  1  1 20  33 273 273 273   5  24   0   0   0   0   0   0   0   0 100
C_Lukeba      23 fra  1 17  5  1 39 571 744 972 304   4   0   4   3   0   0   0   0   0   0  93
Ridle_Baku    27 ger  1 16  6  4 16 321 107  10 484   5   0   7   1   0   0   0   0   0   0  91
K_Nedeljkovic 20 ser  1 15  5  4 20 510 441 376 537   4   0   7   1   3   0   0  10   0   0 100
Willi_Orban   33 hun  1 15  5  1 38 246  33 422 721   5   0   4   2   0   0   0   2   0   0  93
Max_Finkgrafe 21 ger  1 14  4  4 18 273 760 457 365   3   0   4   3   0   0   0   0   0   0  93
J_Norbye      18 nor  1 13  4  1 36 273 730 413 365   2   0   2   1   0   0   0   0   0   0 100
A_Ouedraogo   19 ger  1  4 16  5 28 581 530 303 961   5   0   2   6   1   0   1   2   0   0  81
M_Kjaergaard  23 den  1  3 15  6 36 266 866 141  63   2   0   0   2   1   0   0   0   0   0  93
A_Maksimovic  18 ser  1  2 15  5 18 934  23 438 416   5   0   0   7   2   0   1   2   0   0  79
X_Schlager    28 aut  1  4 15  4 32 373 444 396 924   3   0   4  11   2   0   1   2   0   0  79
Viggo_Gebel   18 ger  1  1 15  4 20 385 117  67 394   5   0   0   7   6   2   0   0   0   0  94
J_M_Bungi     19 bel  1  2 13  5 16 735 673 478 236   2   0   0   1   1   0   1   0   0   0  98
Yan_Diomande  19 ivo  1  2  5 17 20 471 752 448 122   4   0   0   1  17   0   0   0   0   0  93
Vitor_Roque   22 bra  1  1  5 16 22 259 927 275 489   1   0   0   0   0   0   0   0   0   0 100
Brajan_Gruda  21 ger  1  1  5 16 20 283 774 708 365   3   0   0   1   8   1   0   0   0   0 100
Suleman_Sani  19 nig  1  1  4 14 20 315 535 617 925   1   0   0   0   1   0   0   0   0   0 100
A_Thomas      18 hol  1  1  4 14 18 315 535 617 940   1   0   0   0   2   0   0   0   0   0 100
D_D_Fofana    23 ivo  1  3  4 14 28 315 535 617 920   0   0   0   0   0   0   0   0   0   0 100
