Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
Mike_Penders  20 bel 16  1  1  1 20 134 273 273 273   6  30   0   0   0   0   0   0   0   0 100
Stefan_Bajic  24 fra 13  1  1  1 18 754 123 234 123   0   0   0   0   0   0   0   0   0   0 100
Guele_Doue    23 ivo  1 17  6  4 16 321 148 112 516   6   0  11   5   2   0   1   2   0   0  64
I_Doukoure    22 fra  1 16  5  1 39 571 824 985 296   6   0  10   4   0   0   0   6   0   0  64
L_Hogsberg    19 den  1 15  5  1 41 510 381 355 477   5   0   3   0   0   0   0  10   0   0  94
A_Omobamidele 23 ire  1 15  5  1 38 246 121 404 724   6   0   9   1   0   0   0   0   0   0  80
Amadou_Cisse  19 gui  1 13  5  1 38 273 848 428 360   6   0   6   2   0   0   0   4   0   0  80
Diego_Moreira 21 bel  1  2 15  5 20 110 366 805 743   6   0   2  10   0   0   1   0   0   0  94
S_El_Mourabet 20 mor  1  3 15  4 26 385 114  46 249   4   0   0   3   2   0   1   2   0   0  94
S_Nanasi      23 swe  1  2 14  5 20 581 478 288 975   5   0   0   5   2   0   0   2   0   0 100
Junior_Mwanga 22 fra  1  5 14  2 38 934  51 413 420   2   0   1   4   2   0   1   0   0   0 100
M_Amougou     20 fra  1  4 14  4 32 373 343 346 927   5   0   0   7   2   0   0   0   0   0 100
Rafael_Luis   20 por  1  4 14  2 32 735 660 458 281   3   0   0   2   2   1   0  12   0   0 100
E_Emegha      23 hol  1  4  5 16 28 471 778 511  90   5   0   1   4   9   0   0   0   0   0  88
J_Panichelli  23 arg  1  3  5 16 32 331 677 331 873   5   0   0   1   7   1   0   2   0   0 100
S_Amo-Ameyaw  19 eng  1  1  5 15 20 283 774 687 343   3   0   0   0   7   1   0   0   0   0 100
Martial_Godo  22 ivo  1  1  4 14 20 315 535 639 961   3   0   0   1   2   1   0   0   0   0 100
G_Yassine     20 mor  1  1  4 14 18 315 535 617 945   1   0   0   0   4   0   0   0   0   0 100
D_D_Fofana    23 ivo  1  3  4 14 28 315 535 617 920   0   0   0   0   0   0   0   0   0   0 100
