Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Patterson   27 eng 24  2  2  2 20 654 959 584 659  10   0  978   1  67   7   0   0   0   0   0   2   0   0 100
Nathan_Bishop 27 spa 13  2  2  2 18 879 544 169 244   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dennis_Cirkin 25 eng  2 16  7  7 22 550 110  55 135   9   0  883   0   0   0   3   3   3   1   0   0   0   0  69
Conor_Coady   33 eng  1 15  7  2 36 858 462 403 735  10   0  877   1   0   0  18   6   4   0   0   4   0   0  65
D_Ballard     27 nir  2 15  7  3 38 528 462 584 280  10   2  888   0   0   0   6   2   3   0   0   0   0   0  71
Trai_Hume     25 nir  2 14  6  6 22 331 549 829  80  10   0  797   1   0   0  14   6   5   0   0   2   0   0  75
Niall_Huggins 26 wal  2 13  6  5 20  94 779 204  94  10   4  777   0   0   0   7   5   4   0   1   0   0   0  76
Gavi          22 spa  3  6 21  9 22 195 152 700 207   8   0  787   1   0   0   5  20   7   1   4   0   0   0  93
Yves_Bissouma 30 mal  2  6 18  3 41  59 789 226 295   9   0  790   0   0   0   1  20   6   0   0   2   0   0  94
Alex_Luna     20 arg  2  6 18  8 24 106 575 979 923   9   0  757   1   0   0   2  19  11   4   0   2   0   0  93
Berkan_Kutlu  28 tur  1  6 17  3 25 675 760 866 768   8   0  681   0   0   0   3  17   2   0   1   0   0   0  93
Y_Asprilla    21 col  2  4 16  7 16  19  19 713 950   9   4  615   0   0   0   2  24   8   1   3   0   0   0 100
Callum_Styles 27 hun  2  4 14  7 18 508 566  71 178   3   3  106   0   0   0   0   2   1   0   0   0   0   0 100
Tom_Watson    21 eng  1  4 13  6 22 400 183  93 646   3   3   85   0   0   0   0   2   3   1   0   0   0   0 100
Neymar        35 bra  1  3  8 26 26 930 534 790 533  10   0  896   2   0   0   1   5  45   6   0   2   0   0  64
Raphinha      30 bra  2  2  8 24 34 484 786  30 675  16   0 1496   3   0   0   1  11  67   4   1   6   0   0  73
W_Gnonto      21 ita  1  2  8 15 18 838 836 341 413   1   1   31   0   0   0   0   0   0   0   0   0   0   0 100
Jake_Waters   21 eng  1  4  6 13 22 400 151 322 427   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
