Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
E_Martinez    34 arg 22  1  1  1 22 826 436 947 887   5  28   0   0   0   0   0   0   0   0 100
Pedro_Porro   27 spa  1 15  6  5 20 634 220 537 464   5   0   0   0   3   1   0   0   0   0  90
Amar_Milisic  20 bel  1 15  6  2 38 445 365 839 638   5   0   4   1   1   0   0   0   0   0  84
M_v_de_Ven    25 hol  1 14  6  6 28 708 461 768 299   4   0   6   3   4   0   0   4   0   0  99
A_Phillips    21 eng  1 14  6  1 36 305 110 353 759   4   0   6   1   2   0   0   2   0   0 100
H_Pickering   27 eng  1 14  4  4 20 315 245 954 488   9   0  10   3   3   0   0   0   0   0  94
Maeson_King   20 eng  1 13  6  1 38 415 920 418 654   3   0   2   1   0   0   0   0   0   0 100
Jose_Gabriel  20 bra  1 13  6  6 21 699 992 214  47   1   0   1   1   0   0   0   0   0   0 100
Charlie_Gray  21 eng  1  6 17  3 36 507 555 254 793   5   0   2  11   2   0   1   2   0   0  84
Max_McFadden  20 eng  1  2 16  6 20 305 673 324 681   5   0   0   6   2   0   0   0   0   0  84
D_Brasolin    20 ita  2  4 15  6 20 497 637 427 340   2   0   0  11   3   0   0   0   0   0 100
Tom_Bischof   21 ger  1  4 15  6 22 320 530 332 299   2   0   0   0   1   0   0   2   0   0 100
M_Perrone     20 arg  1  6 14  3 38 450 811 552 400   3   0   0   5   2   0   0   2   0   0  94
R_Onyedika    25 nig  1  6 14  3 36 385 313 175 385   3   0   2   8   0   0   0   0   0   0  88
Will_Jackson  22 eng  1  4  6 15 24 604 140 741 344   3   0   0   0   8   0   0   0   0   0 100
Alejo_Veliz   22 arg  1  3  6 15 26 295 712  92 321   3   0   1   1   3   0   0   0   0   0  94
C_Tzolis      24 gre  1  1  5 14 20 326 413  70 448   4   0   0   0   8   0   0   0   0   0 100
Thiago_Almada 22 arg  1  2  4 14 22 480 865 687 608   3   0   0   0   4   0   0   0   0   0 100
