Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
A_Nubel       29 ger 15  1  1  1 20 977 273 273 273   5  12   0   0   0   0   0   0   0   0 100
F_Hellstern   18 ger 13  1  1  1 18 811 123 234 123   1   4   0   0   0   0   0   0   0   0 100
Finn_Jeltsch  19 ger  1 16  5  1 39 571 774 928 302   5   0   6   1   0   0   0   2   0   0  91
M_Mittel'hadt 28 ger  1 16  6  5 16 321  96  50 526   5   0   6   3   3   0   0   0   0   0  93
Jeff_Chabot   27 ger  1 15  5  1 38 510 406 386 487   3   0   4   1   0   0   0   0   0   0 100
L_Assignon    25 fra  1 15  5  4 18 246  51 404 739   4   0   5   1   1   0   0   0   0   0 100
Luca_Jaquez   22 swi  1 14  5  1 38 273 744 501 365   3   0   3   4   0   0   1   0   0   0  93
J_Vagnoman    25 ger  1 14  4  4 16 115 653 590 234   1   0   3   0   0   0   0   0   0   0 100
R_Hendricks   24 hol  1 13  5  1 36 103 678 650 345   0   0   0   0   0   0   0   0   0   0 100
A_Al_Dakhil   23 bel  1 13  5  1 38 112 756 734 236   0   0   0   0   0   0   0   0   0   0 100
A_Stiller     24 ger  1  6 17  3 36 110 355 820 793   5   0   2  16   3   0   0   2   0   0  80
B_E-Khannouss 21 mor  1  2 16  5 21 581 499 281 968   4   0   1   6   2   0   0  10   0   1  94
Chema_Andres  20 spa  1  5 15  3 32 373 368 350 908   4   0   1   8   1   0   0   0   0   0  91
A_Karazor     29 tur  1  5 15  2 36 385 167 116 244   4   0   2  10   1   0   1   0   0   0  96
N_Nartey      25 den  1  3 13  4 32 112 336 853 874   2   0   0   5   3   1   0   0   0   0  93
Mirza_Katovic 18 ser  1  4 13  2 30 112 836 840 832   2   0   0   4   2   0   0   0   0   0  93
J_Leweling    24 ger  1  1  5 16 20 471 781 448  85   4   0   1   1   9   0   0   0   0   0 100
E_Demirovic   27 bos  1  3  4 15 32 331 680 313 931   3   0   0   0  15   1   0   0   0   0  93
Tiago_Tomas   23 por  1  3  4 14 28 283 774 709 332   2   0   0   1   4   0   0   0   0   0 100
B_Bouanani    21 alg  1  1  4 14 20 315 533 615 973   4   0   0   0   9   0   0   2   0   0 100
Chris_Fuhrich 28 ger  1  1  4 14 18 315 535 639 955   4   0   0   1   5   0   0   0   0   0 100
J_Arevalo     20 ecu  1  3  4 14 30 315 535 639 940   1   0   0   1   3   0   0   0   0   0 100
L_Jovanovic   19 eer  1  1  4 13 20 315 535 617 920   0   0   0   0   0   0   0   0   0   0 100
