Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
C_Coosemans   33 bel 17  1  1  1 19 649 400 400 400   4   0  380   0  18   8   0   0   0   0   0   0   0   0 100
J_Heekeren    25 ger 16  1  1  1 18 311 380 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Hey     22 den  1 17  5  1 38 500 527 701 497   3   0  263   0   0   0   4   1   0   0   0  10   0   0  94
Marco_Kana    23 bel  1 17  5  1 37 480 263 866 591   4   1  285   0   0   0   4   0   0   0   0   0   0   0 100
Ilay_Camara   23 sen  1 17  5  4 20 480 793 154 723   4   1  335   0   0   0   2   2   1   0   0   2   0   0  88
Mihajlo_Ilic  22 ser  1 17  5  1 36 500 572 724 457   3   0  237   0   0   0   4   2   1   0   0   0   0   0  99
Ali_Mamaar    21 bel  1 16  5  5 18 200 802 760 807   2   0  191   0   0   0   3   0   3   0   0   0   0   0 100
Moussa_Diarra 25 mal  1 16  5  1 38 110 686 658 146   2   0  188   0   0   0   2   0   1   0   0   2   0   0  94
Nathan_De_Cat 17 bel  1  5 19  6 26 368 313 924  33   4   1  329   0   0   0   1   7   7   1   2   2   0   0  86
N_D_Saliba    22 can  1  5 17  5 36 370 886 720 343   4   1  293   0   0   0   1  14   4   0   2   0   0   0 100
E_Llansana    24 hol  1  5 16  2 38 390 975 356 201   3   0  236   0   0   0   1   8   3   0   0   0   0   0 100
Thor_Hazard   33 bel  1  2 16  5 18 370 935 256 139   4   1  284   0   0   0   0   8   2   1   1   0   0   0  93
Alexis_Flips  26 fra  1  2 16  6 16 220  68 510  32   3   1  239   1   0   0   0   3   8   1   0   0   0   0  94
A_Tajaouart   20 bel  1  3 16  5 26 360 618 488 935   2   0  141   0   0   0   0   5   4   1   0   0   0   0 100
Danylo_Sikan  24 ukr  1  3  4 17 32 140 332 730 326   3   0  208   0   0   0   0   0   9   3   0  20   0   2  99
Cesar_Huerta  25 mex  1  1  4 17 18 220 223 905 989   3   1  240   1   0   0   0   1  17   3   0   0   0   0  94
A_Bertaccini  25 bel  1  3  4 17 26 120 440 213 575   3   0  247   1   0   0   0   1  13   1   0   0   0   0  94
M_Cvetkovic   19 ser  1  3  4 16 30 220 440 353 762   1   1   37   0   0   0   0   1   1   0   0   0   0   0 100
Coba_Da_Costa 23 spa  1  2  4 16 20 110 220 880 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Degreef     21 bel  1  2  4 16 18  90 110 770 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
