Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
L_Hornicek    23 CZE 14  1  1  1 19 611 400 400 400   4   0  376   0  33  10   0   0   0   0   0   0   0   0 100
Tiago_Sa      31 POR 13  1  1  1 21 977 390 390 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Arrey-Abi   23 GER  1 15  7  3 27 480 755  94 674   4   0  328   0   0   0   9   3   4   1   0   4   0   0  86
Victor_Gomez  26 SPA  1 15  6  4 20 400 542 161 949   4   1  331   0   0   0   7   1   5   0   1   0   0   0  91
Robson_Bambu  28 BRA  1 15  4  1 33 460 192 622 479   3   0  282   0   0   0   5   1   1   0   0   2   0   0  86
J_Ferreira    25 POR  1 15  4  4 20 460 610 786 494   2   0  187   0   0   0   5   0   0   0   0   0   0   0 100
Jonatos_Noro  20 POR  1 14  5  1 36 220 633  99 698   1   0   93   0   0   0   2   0   0   0   0   0   0   0 100
R_Zalazar     26 URU  1  3 16  6 21 400 676  96 210   4   0  376   0   0   0   0   8   4   0   0   2   0   0  76
Uros_Racic    28 SER  1  5 15  2 33 400 971 471 638   3   0  283   0   0   0   2  11   1   0   1   2   0   0  93
V_Carvalho    29 BRA  1  5 14  2 36 400 848 794 746   3   0  231   0   0   0   0   3   2   1   0   0   0   0 100
T_Helguera    20 URU  1  6 14  3 36 370  31 471 737   3   1  237   0   0   0   2   2   0   0   0   0   0   0 100
D_Rodrigues   21 POR  1  5 14  4 26 350  36 629 610   3   0  235   0   0   0   1   4   2   0   1   0   0   0  93
Vasconcelos   21 POR  1  1 14  6 18 350 700 737 292   3   1  238   0   0   0   0   7   2   0   2   0   0   0  93
E_Buendia     29 ARG  1  2 14  5 21 777 514 128 741   2   0  138   0   0   0   0   3   1   0   0   0   0   0 100
A_Sima        25 SEN  1  2 14  6 21 700 186 187 735   2   1  142   0   0   0   0   4   1   0   2   0   0   0 100
Roger         20 POR  1  2  6 15 20 350 690 822 528   3   0  283   1   0   0   0   2  18   5   0   0   0   0  93
Ismael_Gharbi 22 SPA  1  1  4 14 20 310 577 578 870   4   0  180   0   0   0   0   0   8   0   0   0   0   0 100
G_Martinez    23 SPA  1  1  4 14 19 250 750 972 422   4   4  196   0   0   0   0   1  10   1   0   0   0   0 100
Afonso_Patro  19 POR  1  4  5 14 28 350  51 222 812   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
