Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Kotarski    27 cro 15  2  2  1 24 737 351 343 411   2   0  188   0   9   6   0   0   0   0   0   0   0   0 100
Oscar_Burr    20 den 14  1  1  1 22 293 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Huescas     23 mex  1 16  5  4 16 321 404 181 619   2   0  188   0   0   0   1   1   0   0   0   0   0   0  86
Ruben_Dias    31 POR  1 15  8  2 38 567 456  82 714   1   0   94   0   0   0   1   0   0   0   0   0   0   0 100
J_Suzuki      23 jap  1 15  5  1 36 110 620 324 550   1   0   94   0   0   0   1   0   0   0   0   0   0   0 100
Birger_Meling 32 nor  1 15  4  1 38 200   3 924 358   1   0   94   0   0   0   0   1   0   0   0   0   0   0 100
P_Hatzidiakos 30 gre  1 15  4  1 36 234 206 309 707   1   0   94   0   0   0   2   0   1   0   0   0   0   0  93
Marcos_Lopez  27 per  1 14  5  4 22 307 980  88 756   1   0   94   0   0   0   0   2   1   0   1   0   0   0  93
Aurelio_Buta  30 por  1 14  4  4 18 363 487 690 456   1   0   94   0   0   0   1   0   0   0   0   0   0   0  93
M_Mattsson    27 den  1  4 15  4 32 385 263 518 335   2   1  143   0   0   0   0   3   0   0   1   0   0   0 100
M_E_Madsen    29 den  1  3 15  4 24 263 643 281 702   1   0   94   1   0   0   0   9   0   0   0   0   0   0 100
A_Richardson  25 fra  1  4 14  4 34 349 467 897 516   2   0  139   0   0   0   0   4   0   0   0   0   0   0  93
William_Clem  22 den  1  6 14  2 36 454 168 947 846   2   1  143   0   0   0   0   4   3   1   0   0   0   0  93
Oliver_Hojer  20 den  1  3 14  4 20 541 353 280 569   1   0   45   0   0   0   1   1   1   0   0   0   0   0 100
T_Delaney     35 den  1  4 13  4 30 318 685 611 252   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Larsson     29 swe  1  2  4 15 28 750  27 316 475   1   0   94   0   0   0   0   0   3   1   0   0   0   0 100
Kaio_Jorge    26 bra  1  4  6 15 26 692 237 913 366   1   0   94   0   0   0   0   1   4   0   0   0   0   0 100
M_Elyounoussi 32 nor  1  3  5 14 24 331 737 364 955   2   0  139   0   0   0   0   1   1   0   0   0   0   0  93
E_Achouri     28 tun  1  1  4 14 20 326 405 951 569   2   1  143   0   0   0   0   0   9   1   0   0   0   0  93
V_Dadason     18 ice  1  3  3 14 28 120 618 948 802   1   0   45   0   0   0   0   0   2   0   0   0   0   0 100
Liam_West     19 nor  1  1  4 14 32 230 750  83 671   1   1   49   0   0   0   0   1   1   0   0   0   0   0 100
