Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Golubovic   32 slo 16  2  2  1 24 731 351 343 411   5   0  470   0  14  10   0   0   0   0   0   2   0   0 100
A_Rosca       24 rom 16  1  1  1 22 593 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Stoian      22 rom 15  1  1  1 20  83 255 555 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxime_Sivis  29 fra  1 15  4  4 18 410 491 971 293   5   0  373   0   0   0  11   1   2   0   0   2   0   0  94
C_Costin      29 rom  1 14  4  4 21 308 723 874 250   3   0  282   0   0   0   7   1   1   1   0   0   0   0 100
K_Boateng     31 tog  1 14  5  1 36 321 770 598 450   5   2  332   0   0   0   6   1   0   0   0   4   0   0 100
Raul_Oprut    29 rom  1 14  4  4 18 307 398 986 665   5   1  325   0   0   0   6   4   0   0   1   0   0   0  93
J_Homawoo     30 tog  1 14  5  1 38 325 432 441 831   4   2  287   0   0   0   7   1   0   0   0   0   0   0  94
C_Licsandru   24 rom  1 14  4  2 36 363 240 916  28   2   0  187   0   0   0   1   3   1   0   0   0   0   0  94
R_Pascalau    23 rom  1 12  5  2 40  98 800 626 202   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Cirjan      25 rom  1  4 15  5 22 349 579 154 537   5   0  470   1   0   0   3  12   3   1   0   0   0   0  74
A_Marginean   26 rom  1  3 15  5 21 318 998 781 774   5   0  470   0   0   0   1  12   1   0   0   0   0   0  74
Eddy_Gnahore  34 fra  1  5 14  3 36 385 989 904 146   4   0  376   0   0   0   4   5   0   0   1   0   0   0  88
Patrick_Olsen 33 den  1  1 15  4 20 454 704  43 492   4   0  376   0   0   0   0   5   4   1   3   2   0   0  88
G_Milanov     35 bul  1  3 13  5 26 263 342 318 105   3   0  283   1   0   0   1   1   6   3   0   0   0   0  88
Alberto_Soro  28 spa  1  1  5 16 20 326 544  94 236   4   0  338   0   0   0   1   0  11   1   0   0   0   0 100
A_Caragea     22 rom  1  2  5 15 22 294 269 994 762   4   1  269   1   0   0   0   1  10   3   0   0   0   0 100
D_Politic     27 rom  1  1  5 14 18 276 755 501 774   4   1  185   0   0   0   0   0   4   1   0   0   0   0 100
A_Selmani     30 kos  1  3  5 14 24 331 737 380 449   3   3  147   1   0   0   0   1   8   2   1   0   0   0 100
Andrei_Bani   25 rom  1  1  4 13 20 404 909 981 905   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
