Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ederson       33 BRA 16  1  1  1 19 129 400 400 400   2   0  188   0   5   4   0   0   0   0   0   0   0   0 100
Tarik_Cetin   30 TUR 13  1  1  1 18 411 380 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Oosterwolde 25 HOL  1 17  6  1 37 480 420 112 573   2   0  188   0   0   0   1   2   0   0   0   0   0   0  88
C_Soyuncu     30 TUR  1 16  5  1 40 500 414 630 440   2   0  188   0   0   0   5   1   0   0   0   2   0   0  88
Archie_Brown  24 ENG  1 16  6  4 20 480 168 421 845   2   0  188   0   0   0   0   2   4   0   1   0   0   0  88
N_Semedo      33 POR  1 15  5  4 16 500 486 834 454   1   0   93   0   0   0   0   1   0   0   0   0   0   0 100
Mert_Muldur   27 TUR  1 15  5  4 20 460 772   7 733   2   0   90   0   0   0   2   0   0   0   0   0   0   0 100
Levent_Mercan 26 TUR  1 15  4  4 20 470 282 764 510   2   2   98   0   0   0   1   2   1   0   0   0   0   0 100
Y_Efe_Demir   22 TUR  1 14  4  1 36 120 399 898 328   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Guendouzi   27 FRA  1  4 17  5 26 370 790 644 508   2   0  188   0   0   0   1   4   2   0   0   0   0   0  88
Edson_Alvarez 29 MEX  1  5 16  2 38 360 683 658 759   2   0  188   0   0   0   0   8   1   0   1   2   0   0  88
Ismail_Yuksek 28 TUR  1  6 15  2 44 390   1 953 846   2   0  140   0   0   0   1   4   0   0   0   0   0   0  93
N'Golo_Kante  35 FRA  1  6 15  3 38 370 806 637 797   2   1  143   0   0   0   0   3   0   0   0   0   0   0  93
A_Aziz_Fall   20 SEN  1  5 15  5 32 360  29 275 162   1   0   95   0   0   0   0   7   4   0   1   0   0   0  93
M_H-Yandas    32 TUR  1  2 14  5 21 220 330 574 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Nene        24 MAL  1  1  5 17 20 330 638 940 689   2   0  146   1   0   0   0   0  13   4   0   0   0   0 100
Oguz_Aydin    26 TUR  1  1  5 16 21 320 580 752 681   2   1  135   0   0   0   0   1  10   0   0   0   0   0 100
Talisca       33 BRA  1  3  5 15 32 140 240 682 994   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sidiki_Cherif 20 FRA  1  3  5 15 28 220 425 198 581   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Musaba      26 HOL  1  2  5 15 20 120 440 191 491   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emre_Mor      29 TUR  1  2  4 14 28 110 330 970 171   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
