Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
T_Wellr'ther  32 ger 18  1  1  1 18 656 478 378 359   2   8   0   0   0   0   0   0   0   0 100
Jort_Roovers  19 hol 14  1  1  1 22 279 394 394 394   0   0   0   0   0   0   0   0   0   0 100
Ian_Maatsen   25 HOL  2 17  5  7 18 108 181 891 264   2   0   4   1   2   0   0   0   0   0  91
Harry_Amass   21 eng  1 17  7  6 21 771 259 612 947   2   0   5   1   1   0   0   0   0   0  91
Milos_Kerkez  24 hun  1 16  5  6 20 354 883 959 935   2   0   7   2   0   0   0   2   0   0  91
G_Silva       22 por  1 14  6  2 42 521 855 283 750   1   0   0   1   1   0   0   0   0   0 100
D_Hancko      30 slv  1 14  6  2 35 470 312 340 924   2   0   1   1   0   0   0   0   0   0 100
R_Manuhutu    20 hol  1 14  5  3 38 346 711 328 847   2   0   2   0   1   0   0   0   0   0 100
Sverre_Nypan  20 nor  1  6 17  5 28 412 257 418 338   1   0   0   3   0   0   0   0   0   0 100
T_v_den_Belt  26 hol  1  3 17  6 30 801 937  75 278   2   0   1   7   0   0   0   0   0   0  91
Ben_White     30 eng  1  7 16  8 22 838 998 744 390   1   0   3   3   1   0   0   0   0   0  91
B_Aaronson    27 usa  1  1 16  6 18 250 525 978 809   2   0   0   2   1   0   0   0   0   0 100
Javi_Guerra   25 spa  1  4 16  7 22 352 238 992 273   1   0   0   2   0   0   0   2   0   0 100
C_Eriksen     36 den  1  4 14  5 24 492 682 215 604   0   0   0   0   0   0   0   0   0   0 100
C_Kevin-Nadje 24 fra  1  4 14  6 18 331 632 922 553   0   0   0   0   0   0   0   0   0   0 100
Ato_Ampah     21 eng  1  2  7 19 18 497 388 203 364   2   0   2   0   7   1   0   0   0   0  91
Naci_Unuvar   24 TUR  1  1  6 18 20 340 836 184  91   2   0   0   1   7   1   0   0   0   0  91
Lionel_Messi  41 arg  1  2  7 16 22 392 321 328 294   2   0   0   1   5   0   0   0   0   0  91
J_Kluivert    29 hol  1  1  5 14 16 332 720 960 292   0   0   0   0   0   0   0   0   0   0 100
Daan_Rots     25 hol  1  1  6 14 20 261 706 479 401   0   0   0   0   0   0   0   0   0   0 100
