Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
N_Atubolu     24 GER 16  1  1  1 19 772 400 400 400   4   0  382   0   9   9   0   0   0   0   0   2   0   0 100
F_Muller      29 GER 14  1  1  1 18 511 380 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Lienhart    30 AUT  1 16  5  1 37 480 190 891 560   3   0  289   0   0   0   3   2   0   0   0   2   0   0 100
M_Rosenfelder 24 GER  1 16  6  2 36 480 184 498 745   4   0  340   0   0   0   5   6   0   0   1   2   0   0  88
J_Makengo     25 FRA  1 15  4  4 20 500 789 903 509   4   1  337   0   0   0   8   1   0   0   1   2   0   0  88
M_Ginter      33 GER  1 14  6  1 36 500 442 724 482   3   0  239   0   0   0   2   0   1   0   0   0   0   0  99
C_Gunter      33 GER  1 14  4  4 20 460 420 909 671   4   1  275   0   0   0   4   2   1   0   1   0   0   0  94
Bruno_Ogbus   21 SWI  1 14  5  1 36 120 714  63 428   4   2  242   0   0   0   4   2   0   0   0   2   0   0 100
J_Manzambi    21 SWI  1  4 18  5 26 370 836  44 560   4   0  382   0   0   0   0   6   0   0   0   2   0   0  74
P_Osterhage   27 GER  1  5 16  2 38 360 681 571 718   3   0  289   0   0   0   1   4   0   0   0   2   0   0 100
M_Eggestein   30 GER  1  4 15  4 24 390 902 986 839   3   0  286   0   0   0   0   5   1   0   1   0   0   0  94
N_Hofler      36 GER  1  5 13  2 38 370 758 623 814   2   0  138   0   0   0   0   3   0   0   0   0   0   0  94
D_K_Kyereh    30 GER  1  1 13  6 22 360 703 721  22   2   1  143   0   0   0   0   3   2   0   0   0   0   0  94
Y_Suzuki      25 JAP  1  3  4 16 26 330 636 896 587   3   1  242   0   0   0   0   0   4   0   0   0   0   0 100
C_Irie        21 BUR  1  1  4 15 21 320 678 830 955   4   1  284   1   0   0   0   1  13   2   0   2   0   0  94
N_Beste       28 GER  1  1  4 15 22 140 352 916 494   3   1  193   0   0   0   1   0   7   2   0   0   0   0 100
D_Scherhant   24 GER  1  1  5 14 18 220 354  98 393   1   0   96   0   0   0   0   0   0   0   0   0   0   0 100
I_Mantanovic  23 CRO  1  3  5 14 28 120 440 191 491   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
