Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Otto_Hindrich 23 rom 16  1  1  1 19 727 400 400 400   4   0  381   0  28   9   0   0   0   0   0   0   0   0 100
K_Tobiasz     23 pol 16  1  1  1 18 311 380 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Piatkowski  25 pol  1 16  5  1 38 500 597 732 507   4   0  381   0   0   0   8   2   0   0   0   0   0   0  74
R_Pankov      30 ser  1 16  5  1 37 480 309 908 614   4   0  381   0   0   0   7   2   1   0   0   0   0   0  74
J_Leszczynski 18 pol  1 15  5  2 36 480 827 133 708   4   0  381   0   0   0   4   1   0   0   0   2   0   0  74
A_Jedrzejczyk 38 pol  1 15  5  1 36 500 715 776 439   4   0  381   0   0   0  13   2   0   0   2   0   0   0  74
J_Elitim      26 col  1  5 16  2 38 368 288 916 896   3   0  186   0   0   0   0   5   0   0   1   2   0   0 100
D_Szymanski   30 pol  1  5 16  2 36 370 886 651 316   2   0  190   1   0   0   1   7   2   0   1   0   0   0 100
R_Vinagre     26 por  1  2 16  5 21 390 950 321 230   2   0  190   0   0   0   0   3   5   0   1   0   0   0 100
E_Krasniqi    27 kos  1  2 16  5 18 370 933 209 123   3   0  250   0   0   0   0   5   1   1   0   2   0   0  91
P_Stojanovic  30 slo  1  3 16  4 26 220  68 530 917   3   0  236   0   0   0   0   5   3   0   0   0   0   0  91
A_Reca        30 pol  1  1 16  5 22 360 618 478 921   3   1  242   0   0   0   0   4   3   1   0   0   0   0  91
R_Augustyniak 32 pol  1  5 16  2 36 330 661 958 644   3   1  191   0   0   0   1   2   2   0   0   2   0   0  91
Pascal_Mozie  17 pol  1  5 15  2 34 110 685 880 230   2   2  101   0   0   0   1   0   0   0   0   0   0   0 100
J_Zewtakow    19 pol  1  2 15  5 20 110 220 770 789   1   1   37   0   0   0   0   0   1   0   0   0   0   0 100
S_Kovacik     18 slo  1  2 15  5 18  90  90 850 850   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Rajovic     26 den  1  3  4 16 32 140 352 750 302   3   0  184   0   0   0   0   0   5   1   0   0   0   0 100
A_Colak       32 cro  1  3  4 16 28 220 223 883 907   3   2  197   0   0   0   0   0   6   1   0   0   0   0 100
J_P_Nsame     32 sen  1  3  4 16 26 120 438 189 538   2   0  139   0   0   0   0   0   5   1   0   2   0   0 100
Rafat_Adamski 24 pol  1  3  4 16 30 220 440 331 836   2   1  143   1   0   0   0   0   7   3   0   0   0   0 100
