Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
H_Bonmann     33 GER 14  1  1  1 19 284 400 400 400   2   0  189   0  11   7   0   0   0   0   0   0   0   0 100
Sergio_Padt   36 HUN 14  1  1  1 18  11 380 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Nogueira    25 BRA  1 15  4  4 20 500 682 790 482   2   0  140   0   0   0   1   0   0   0   0   0   0   0  99
E_Kurtulus    26 SWE  1 15  6  1 37 480 533  28 571   2   1  144   0   0   0   4   2   0   0   0   0   0   0 100
O_Verdon      31 FRA  1 14  6  2 36 480 787  95 707   1   0   95   0   0   0   0   0   0   0   0   0   0   0 100
A_Nedyalkov   33 BUL  1 14  4  4 20 500 456 748 469   2   0  139   0   0   0   1   3   0   0   0   2   0   0  93
Son           32 SPA  1 14  4  3 15 460 333 806 654   2   1  144   0   0   0   2   0   0   0   0   0   0   0  93
S_Shishkov    20 BUL  1 14  5  1 36 120 667 118 476   1   0   94   0   0   0   2   2   0   0   1   0   0   0  93
J_Andersson   30 SWE  1 13  6  4 16 470 967 520 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Petar_Stanic  25 SER  1  1 15  5 23 370 757 830 452   1   0   95   0   0   0   0   2   0   0   0   0   0   0 100
Filip_Kaloc   26 CZE  1  5 15  5 28 370 210 352  10   2   0  150   0   0   0   1   2   0   0   0   0   0   0  93
A_Camara      25 GUI  1  2 14  4 20 360 560 759 990   2   1  133   0   0   0   0   4   0   0   0   0   0   0  93
I_Chochev     34 BUL  1  4 14  4 24 390 744 650 787   1   0   94   1   0   0   0   8   3   0   2   2   0   0  93
Deroy_Duarte  27 HOL  1  3 14  6 22 360 755 865 112   1   0   95   0   0   0   0   0   1   0   0   0   0   0 100
P_Naressi     29 BRA  1  5 14  2 33 380 816 971 990   1   0   94   0   0   0   0   3   1   0   0   0   0   0  93
Krepin_Diatta 29 sen  1  2  5 18 31 859  94 847 860   2   0  189   0   0   0   0   0  10   2   0   0   0   0  86
B_Tekpetey    29 GHA  1  1  4 15 21 320 578 674 507   2   0  140   0   0   0   0   1  10   1   0   0   0   0  99
Caio_Vidal    26 BRA  1  1  4 15 22 140 323 950 564   2   1  144   0   0   0   0   0   1   0   0   0   0   0 100
