Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Lafont      28 IVO 14  1  1  1 19 768 400 400 400   3   0  283   0  23   8   0   0   0   0   0   0   0   0 100
Lucas_Chaves  31 ARG 14  1  1  1 18 311 380 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Hernandez   28 SPA  1 15  4  4 20 500 545 690 537   2   0  188   0   0   0   4   0   2   0   0   0   0   0  94
Ahmed_Touba   28 ALG  1 15  5  1 37 480 256 887 591   2   0  188   0   0   0   3   1   0   0   0   0   0   0  94
Tin_Jedvaj    31 HOL  1 14  6  2 36 480 853 114 727   3   0  185   0   0   0   4   0   1   0   0   0   0   0  99
S_Ingason     33 ICE  1 14  5  1 36 500 598 722 437   3   2  193   0   0   0   5   2   0   0   0   2   0   0 100
E_P_Brown     29 USA  1 14  5  1 30 460 721  93 733   1   0   95   0   0   0   1   2   0   0   0   0   0   0 100
G_Katris      21 GRE  1 14  5  1 36 470 517 860 568   2   0  138   0   0   0   0   2   0   0   0   0   0   0  94
Bruno_Ogbus   21 SWI  1 14  5  1 36 120 624  34 420   2   1  143   0   0   0   1   1   0   0   0   0   0   0  94
A_Pereira     32 bra  1  3 18  8 20 368 290 922   2   3   0  283   0   0   0   0   7   6   1   1   0   0   0  80
P_Chrivella   29 SPA  1  5 15  2 36 370 861 615 333   2   0  190   0   0   0   0   3   3   0   1   0   0   0 100
A_Jagusic     21 CRO  1  2 15  5 21 390 950 374 145   2   0  190   0   0   0   0   6   0   0   2   0   0   0 100
A_Cerin       27 SLO  1  3 15  5 38 370 960 181  81   2   0  140   0   0   0   1   2   0   0   0   2   0   0 100
S_Kontouris   21 GRE  1  4 15  3 26 220  94 535 934   3   1  238   0   0   0   1   5   2   1   0   0   0   0  94
A_Bakasetas   33 GRE  1  1 14  4 22 360 618 467 861   1   0   95   0   0   0   0   1   1   0   1   0   0   0 100
A_Zaroury     26 BEL  1  1  4 16 20 330 636 940 667   2   0  188   0   0   0   0   1  10   1   0   2   0   0  94
K_Swiderski   30 POL  1  3  4 15 32 140 352 794 352   2   0  151   0   0   0   0   2   7   3   0   0   0   0 100
C_Dessers     32 NIG  1  3  4 14 28 220 250 883 872   2   1  132   0   0   0   1   0   4   0   0   0   0   0  94
G_Kyriopoulos 22 GRE  1  1  5 14 20 120 440 212 503   1   0   45   0   0   0   0   1   0   0   0   0   0   0 100
Giannis_Bokos 20 GRE  1  1  5 14 18 220 440 331 759   1   1   48   0   0   0   0   0   0   0   0   0   0   0 100
