Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Donnarumma  28 ita 30  2  2  1 32 660 100 753 812   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jan_Oblak     37 spa 20  1  1  1 22 771 753 171 160   1   0   93   0   8   1   0   0   0   0   0   0   0   0 100
C_Azpilicueta 37 spa  1 18  6  1 30 634 251  74 817   1   0   93   0   0   0   5   1   0   0   0   0   0   0  94
Nahuel_Molina 28 arg  1 18  6  6 21 751 458 731 599   1   0   93   0   0   0   2   0   2   0   0   0   0   0  94
Axel_Witsel   33 bel  1 17  5  1 33 921 562 726 377   1   1   31   0   0   0   0   0   0   0   0   0   0   0 100
Reinildo      32 moz  1 17  4  4 21 233  50 878 409   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Felipe_Jack   21 bra  1 17  8  3 36 268 310 770 539   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Javi_Galan    31 spa  1 16  5  4 22 778 351 431 870   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Bakker      26 hol  1 16  6  5 16 246 928 626 555   1   0   62   0   0   0   1   0   0   0   0   0   0   0 100
Fabian_Rieder 22 SWI  2  7 20  9 34 705 664 889 885   1   0   93   0   0   0   1   4   2   0   0   0   0   0  94
A_Bouaddi     19 fra  1  6 21  8 26 273 283 266 424   1   0   93   0   0   0   0   1   2   0   0   0   0   0  94
M_Llorente    31 spa  1  2 19  6 27 739 723 726 986   1   0   93   0   0   0   0   5   1   0   1   0   0   0  94
A_Ibragimov   19 rus  1  3 19  8 21 563 165 779 654   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pablo_Barrios 22 spa  1  5 19  6 32 474 878 190   4   1   0   93   0   0   0   1   3   0   0   0   0   0   0  94
Fabian_Ruiz   31 spa  1  4 18  4 29 585 909 709 636   1   0   72   0   0   0   0   3   0   0   0   0   0   0 100
Thomas_Lemar  30 fra  1  1 18  6 21 792 885 269  13   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Stefan_Kovac  28 bos  1  3 17  5 24 273 550 289 538   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_DePaul      32 arg  1  5 16  5 28 842   1 110 279   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Simeone     23 arg  1  2  7 18 21 110 599 520 991   1   0   93   0   0   0   0   1   8   1   0   2   0   0  94
Geovanni      20 bra  1  4  7 18 28 642 639 690 205   1   0   93   0   0   0   0   0   3   0   0   2   0   0  94
F_Balogun     25 usa  1  1  6 18 27 386 920 299  21   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Angel_Correa  31 arg  1  2  7 17 30 151 483 123 819   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Sorloth  30 nor  1  3  5 17 26 223 456 109 328   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Riquelme    26 spa  1  1  4 16 20 998 442 966 695   1   1   21   0   0   0   0   0   2   0   0   0   0   0 100
Samuel_Lino   27 spa  1  1  4 15 20 902 303 975 778   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
