Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Andrew        26 bra 24  4  4  2 20 120 176 528 230   7   0  668   1  44   5   0   0   0   0   0   0   0   0 100
Ionut_Radu    28 rom 17  1  2  1 32   9 587 166 750  16   0 1516   0 118  13   0   0   0   0   0   0   0   0 100
T_Ndombele    30 fra  2 18 10  6 26 626 973   1  67  14   0 1367   0   0   0  17  12  11   1   1   4   0   0 100
O_Mingueza    26 spa  1 17  5  5 24 332 283 399 901  13   0 1231   0   0   0  22  18  13   3   2  10   0   0 100
J_Rodriguez   22 spa  1 17  5  1 38 110 278 281 219  18   0 1707   1   0   0  25  14  19   1   4   2   0   0 100
Carl_Starfelt 30 swe  1 16  6  1 38 390 202  82 313   8   0  756   0   0   0  20  10   3   0   0   2   0   0  70
S_Carreira    25 spa  1 16  5  5 20 400  15 707 715   8   0  756   0   0   0  10   3   2   0   0   2   0   0  70
Alvaro_Nunez  25 spa  1 16  5  5 16 321 276 484 435   6   0  535   0   0   0   8   3   2   1   0   0   0   0  80
C_Dominguez   25 spa  1 16  5  3 37 585   4 716 457   5   1  408   1   0   0   7   6   2   1   1   0   0   0  85
M_Locatelli   29 ita  1  6 21  4 28 758  29 385 968  13   0 1270   0   0   0   2  24  15   0   1  10   0   1 100
J_Palhinha    30 por  1  7 20  6 32 735 620 214  48  14   0 1108   0   0   0   4  31  10   1   1   2   0   0 100
Fer_Lopez     21 spa  1  2 18  6 21 273 172  27 715  17   2 1176   0   0   0   8  27  14   1   4  10   0   0 100
Miguel_Roman  23 spa  1  4 17  5 33 535  92 300  97  14   5  925   0   0   0   1  36   7   0   7   6   0   0 100
Ilaix_Moriba  23 gui  1  5 17  4 30 984 233 792 209   8   0  756   0   0   0   2  13   7   0   1   0   0   0  70
Hugo_Sotelo   22 spa  1  4 16  6 39 856 156  47 339   8   0  653   0   0   0   0  23   4   0   0   0   0   0  91
Matias_Vecino 34 uru  1  6 16  4 38 110 233 327 583   5   1  379   0   0   0   0   4   2   0   0   2   0   0  93
Vinicius_Jr   26 bra  2  3  7 21 29  30 693  70 609  14   0 1367   7   0   0   1   6  84  12   0   2   0   0 100
W_Swedberg    22 swe  1  2  5 18 22   9 683 247 416  14   0 1240   5   0   0   4  13  89  22   1  22   0   0 100
Hugo_Alvarez  22 spa  1  2  6 17 18 588 248 486 511   5   0  473   1   0   0   0   1  20   3   1   2   0   0  86
Diogo_Martins 20 por  1  4  7 17 28 525 254 205  34   5   5  143   0   0   0   0   4   7   0   0   0   0   0 100
Ferran_Jutgla 27 spa  1  3  5 16 32 176 506 125 585   4   0    0   0   0   0   0   0  14   3   0   0   0   0  97
Pablo_Duran   24 spa  1  3  5 16 30 128 448 109 676   6   1  412   0   0   0   0   1  13   0   0   0   0   0  86
