Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_ter_Stegen  35 ger 22  2  2  2 28   9 277 288 278   3   0  285   0  23   4   0   0   0   0   0   0   0   0 100
Inaki_Pena    28 spa 12  2  2  2 28 556 317 328 318   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Oliveira    29 URU  1 16  7  6 21 850 528 871 374   3   1  222   0   0   0   2   1   2   0   0   2   0   0  93
Alexsandro    27 bra  1 16  6  2 38 850 331 853 586   2   1  126   0   0   0   0   2   0   0   0   0   0   0 100
R_Araujo      28 uru  2 15  7  3 36  88 646 932 488   2   1  126   0   0   0   2   0   2   0   0   4   0   0 100
L_Geertruida  26 hol  2 15  7  7 27 315 656 696 273   2   0  191   0   0   0   3   1   1   0   0   0   0   0  93
Jules_Kounde  28 fra  1 15  7  2 33 811 147  91 850   2   0  191   0   0   0   3   0   3   0   0   2   0   0  93
R_Karsdorp    31 hol  2 14  6  5 18  72 831 750 949   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
A_Christensen 31 den  1 13  7  3 35 854 789 244 238   3   0  190   0   0   0   4   0   0   0   0   0   0   0 100
M_Stroeykens  22 bel  2  4 21  9 20 310 353 832 202   3   0  211   0   0   0   0   6   2   0   1   0   0   0 100
Marc_Casado   23 spa  1  6 18  4 38 930 300 851 671   1   0   94   1   0   0   0   4   1   0   1   0   0   0 100
M_Odegaard    28 nor  1  3 18  8 22 853 494 482 215   2   2   50   0   0   0   0   2   0   0   0   0   0   0 100
Jorginho      35 BRA  1  7 17  4 38 802 886 528 355   3   1  215   0   0   0   2   5   0   0   1   0   0   0  93
L_Samardzic   24 ser  2  5 17  6 26  89 774 140 820   2   0  191   0   0   0   0   2   0   0   1   0   0   0  93
J_Lerma       32 col  1  6 15  3 36 912 922 468 245   1   0   94   0   0   0   0   1   0   0   0   0   0   0 100
L_Dendoncker  32 bel  2  5 14  4 36 746 791  69 442   1   0   95   0   0   0   0   0   2   2   0   0   0   0  93
Fermin_Lopez  24 spa  1  3 14  6 22 925 743 365 357   1   0   94   0   0   0   0   3   1   0   0   0   0   0 100
A_Garnacho    22 arg  2  4  9 27 33 259  47 143 370   3   0  209   1   0   0   0   2  10   2   0   2   0   0 100
Lamine_Yamal  19 spa  1  4  7 23 21 846 163 273 639   2   0  191   0   0   0   0   1   4   1   0   0   0   0  93
Donyell_Malen 28 hol  1  3  6 16 28 985 534 134 686   2   1  119   0   0   0   0   0   4   1   0   0   0   0 100
Leon_Bailey   29 jam  2  3  6 15 20  11 414 302 136   2   2   51   0   0   0   0   0   2   0   0   0   0   0 100
