Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_Soria   32 spa 16  1  1  1 20 338 176 528 230   3   0  292   0  19   3   0   0   0   0   0   0   0   0 100
Jiri_Letacek  27 cze 16  1  1  1 32 310 587 166 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Abdal_Abqar   27 mor  1 16  6  1 38 110 190  99 266   3   0  240   0   0   0   1   1   0   0   0   2   0   0  90
Zaid_Romero   26 arg  1 16  5  1 38 390 544 182 417   3   1  247   0   0   0   3   0   2   0   0   0   0   0  93
Diego_Rico    33 spa  1 16  5  5 20 400 343 807 790   2   0  195   0   0   0   2   0   1   0   0   0   0   0 100
Davinchi      18 spa  1 16  5  4 16 321 518 605 508   2   0  195   0   0   0   3   1   2   0   0   0   0   0  84
D_Duarte      31 por  1 16  5  1 38 390 541 200 385   2   0  195   0   0   0   3   1   0   0   0   2   0   0  84
Berkan_Kutlu  28 tur  1  6 18  3 25 675 957 315 927   3   0  292   0   0   0   0   3   0   0   0   2   0   0  78
Mario_Martin  22 spa  1  6 17  4 38 758 229 830  75   2   0  194   0   0   0   0   5   1   0   0   0   0   0  91
M_Arambarri   30 uru  1  5 17  5 32 735 737 663 165   2   0  194   1   0   0   0  12   1   0   2   0   0   0  91
Luis_Milla    31 spa  1  4 16  5 36 273 372 467 815   2   0  143   0   0   0   0   4   0   0   0   0   0   0 100
Javi_Munoz    31 spa  1  4 16  5 28 984 350 463 292   3   1  218   0   0   0   0   4   4   1   1   0   0   0  91
Callum_Styles 27 hun  2  4 14  7 18 508 666 483 378   1   1   29   0   0   0   0   1   0   0   0   0   0   0 100
B_Mayoral     28 spa  1  4  5 17 28  30 893  71 430   2   0  194   0   0   0   0   0   6   2   0   0   0   0  91
Adrian_Liso   21 spa  1  1  5 16 16   9 783 148 302   2   0  143   0   0   0   0   0   1   0   0   0   0   0 100
M_Satriano    25 uru  1  3  5 16 38 588 348 852 500   3   1  194   0   0   0   0   2  11   1   1   0   0   0  91
V_Birmancevic 28 ser  1  1  5 16 20 525 354 505 571   2   1   98   0   0   0   0   0   6   1   0   0   0   0 100
Abu_Kamara    22 eng  1  1  5 16 22 525 354 505 638   1   1   52   0   0   0   0   0   6   0   0   0   0   0 100
Luis_Vazquez  24 arg  1  3  5 16 34 525 354 505 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
