Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Leo_Roman     25 spa 17  1  1  1 20 129 176 528 230   3   0  287   0   3  11   0   0   0   0   0   0   0   0 100
L_Bergstrom   23 fin 16  1  1  1 32 310 587 166 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Valjent     30 slv  1 16  5  1 36 626 588 310 205   2   0  192   0   0   0   1   4   1   1   1   0   0   0 100
M_Kumbulla    26 alb  1 16  5  1 38 110 235 103 269   3   0  194   0   0   0   4   1   1   0   0   0   0   0 100
Johan_Mojica  33 col  1 16  5  1 38 390 572 224 430   3   1  242   0   0   0   5   2   3   1   0   0   0   0  93
Diego_Rico    33 spa  1 16  5  5 20 400 357 849 790   2   0  191   0   0   0   3   2   1   0   0   0   0   0  93
A_Riallo      34 spa  1 16  5  1 36 321 490 605 485   2   1  138   0   0   0   1   1   0   0   0   0   0   0 100
Toni_Lato     28 spa  1 16  5  4 18 390 502 182 389   1   0   96   0   0   0   0   0   1   0   0   0   0   0 100
Trai_Hume     25 nir  2 15  7  6 22 331 181 149 179   1   0   96   0   0   0   1   1   1   0   0   0   0   0 100
Samu_Costa    25 por  1  5 18  4 38 758 229 830  84   2   0  134   0   0   0   0   4   1   0   1   0   0   0  93
Pablo_Torre   23 spa  1  2 17  5 16 735 720 580 179   3   0  287   0   0   0   0   6   3   1   1   0   0   0  80
Sergi_Darder  32 spa  1  4 16  5 36 273 372 492 909   3   0  287   1   0   0   0   5   7   1   1   0   0   0  80
A_Sanchez     28 spa  1  4 16  5 28 984 333 466 224   3   1  248   0   0   0   0   6   1   0   1   0   0   0  86
Manu_Morlanes 27 spa  1  4 16  5 24 984 333 443 206   2   0  191   0   0   0   0   5   1   0   0   0   0   0  86
Jan_Virgili   19 spa  1  1  5 17 18  30 893  71 392   2   0  191   0   0   0   0   0   9   0   0   0   0   0  93
Vedat_Muriqi  31 kos  1  3  5 16 36   9 781 167 315   3   0  135   0   0   0   0   1   9   3   0   2   0   0 100
Zito_Luvumbo  24 ang  1  1  4 16 18 588 338 776 524   2   2   80   0   0   0   0   0   4   0   0  10   0   0 100
Mateo_Joseph  22 spa  1  3  4 16 28 525 354 505 634   1   1   51   0   0   0   0   0   0   0   0   0   0   0 100
T_Asano       31 jap  1  1  4 16 22 525 354 505 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Kalumba     21 fra  1  1  4 16 18 525 354 505 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
