Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Batalla     29 arg 18  1  1  1 20 188 176 528 230   5   0  476   0  31  10   0   0   0   0   0   0   0   0 100
D_Cardenas    29 spa 16  1  1  1 32 910 587 166 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrei_Ratju  27 rom  1 18  6  6 20 626 658 262 171   5   0  476   0   0   0   7   3   1   0   0   0   0   0  69
Nobel_Mendy   21 sen  1 18  5  1 34 332 179 741  44   5   0  476   0   0   0   8   2   2   1   0   0   0   0  69
Pep_Chavarria 27 spa  1 17  6  5 18 110 322 185 299   5   0  476   1   0   0  10   4   2   0   1   0   0   0  69
Abdul_Mumin   27 gha  1 17  5  1 38 390 567 224 388   5   0  476   0   0   0   5   2   0   0   0   0   0   0  69
J_Vertrouwd   21 HOL  1 17  5  1 36 321  23 605 485   5   5  251   0   0   0   2   1   0   0   0   0   0   0 100
Luiz_Felipe   29 bra  1 16  5  1 40 400 371 849 790   5   0  225   0   0   0   4   2   0   0   0   0   0   0 100
Pedro_Diaz    27 spa  1  4 18  4 34 758 278 401  64   5   0  476   0   0   0   2  14   2   0   0   2   0   0  69
Unai_Lopez    30 spa  1  5 17  4 32 735 720  47 120   5   0  225   0   0   0   0   2   1   0   1   0   0   0 100
O_Valentin    31 spa  1  4 16  5 36 273 372 507 811   5   5  251   0   0   0   0   8   1   0   0   0   0   0 100
Pathe_Ciss    32 sen  1  4 16  5 20 984 333 393 210   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Gumbau      31 spa  1  5 16  2 39 856 556 848 739   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_de_Frutos   29 spa  1  1  6 17 20  30 893 131 390   5   0  476   0   0   0   0   3  12   1   0   0   0   0  69
S_Camello     25 spa  1  3  5 17 20   9 880 908  45   5   0  476   0   0   0   0   3  12   1   0   2   0   0  69
Fran_Perez    23 SPA  1  1  5 17 20   9 783 398  67   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isi_Palazon   31 spa  1  3  5 17 38 588 348 786  12   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Martin 23 spa  1  1  5 17 20   9 783 869  48   5   0  476   0   0   0   0   1  20   1   0   0   0   0  69
Alemao        27 bra  1  4  5 16 28 525 954 905 934   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
