Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rulli       34 arg 16  3  3  1 34   5 404 396 464   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mats_Sels     34 bel 13  1  1  1 20 794 450 450 474   2   0  184   0  12   4   0   0   0   0   0   0   0   0 100
W_Singo       26 ivo  1 16  8  7 29 650 640 143 455   5   0  469   0   0   0   9   2   7   2   1   0   0   0 100
J_St_Juste    30 hol  1 16  8  2 39 556 342 439 934   8   0  713   0   0   0   9   5   3   0   0   2   0   0 100
G_Inacio      25 por  1 16  8  5 34 504 158 787 762  13  10  438   0   0   0   3   1   4   0   0   0   0   0 100
L_Martinez    29 ARG  1 15  7  5 37 670 337 452 310  15   3  934   0   0   0  16   9  10   1   1   4   0   0 100
N_Mazraoui    28 mar  1 14  5  5 22 903 538 961 236   7   5  297   0   0   0   3   0   2   0   0   0   0   0 100
J_Bellingham  23 eng  1  5 25  8 29 655 709 312 664  18   0 1700   3   0   0   3  77  26   5   8   2   0   0 100
L_Di_Maggio   23 ITA  1  4 24  8 38 907 557 102 786  14   0 1281   0   0   0   3  38  17   2   4  22   0   0 100
J_Maddison    30 eng  1  3 20 10 23 552  97 425 615  14   0 1320   0   0   0   1  30  36   4   2   6   0   0 100
Amad_Diallo   24 ivo  1  5 19  5 31 522 702 275 437   9   3  616   0   0   0   1  21  12   4   3   4   0   0 100
Kang_In-Lee   26 kor  1  3 13  6 27 629 100 456 539   9   7  285   0   0   0   0   4   2   0   0   0   0   0 100
A_Moleiro     24 spa  2  3 13  5 18 129 371 524 883   2   0  184   0   0   0   0   5   4   0   1   0   0   0 100
Kylian_Mbappe 28 fra  1  3  8 33 21 736 546 735 503  17   0 1604   6   0   0   3   3 108  18   0   6   0   0 100
S_Munoz       21 mex  1  3  5 14 24 260 548 967 633   9   0  846   2   0   0   2   9  27   4   2   0   0   0 100
