Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Escandell   30 spa 17  1  1  1 20 221 176 528 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Moldovan    28 rom 17  1  1  1 32 310 587 166 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Carmo   26 por  1 18  6  1 36 626 574 202 167   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Bailly   31 ivo  1 17  6  1 38 110 179  82 269   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Javi_Lopez    23 spa  1 16  5  6 24 332 883 699   2   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Costas  30 spa  1 16  5  1 38 390 502 182 388   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nacho_Vidal   30 spa  1 16  5  5 20 400 315 807 790   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dani_Calvo    31 spa  1 16  5  1 36 321 476 584 485   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Colombatto  29 arg  1  6 17  4 38 758 229 785  69   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Dendoncker  30 bel  1  6 17  3 32 735 720 514 123   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Fonseca     27 uru  1  5 17  2 36 273 372 427 815   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luka_Ilic     26 ser  1  2 17  6 20 984 333 393 210   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pablo_Agudin  18 spa  1  2 17  4 19 856 556  48 739   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alberto_Reina 28 spa  1  4 16  5 33 535 192 700 297   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Fernandez   21 arg  1  2  6 18 20  30 893  71 410   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Vinas       27 uru  1  3  6 17 32   9 783 148 317   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago_Borbas 23 uru  1  3  5 17 38 588 348 786 512   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Foras    24 spa  1  4  5 16 28 525 354 505 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
