Pl   Team                      P    W   D   L    GF   GA   GD   Pts Form
--------------------------------------------------------------------------
1    Real_Madrid               2    2   0   0     8    3    5     6 ----WW
2    Villareal                 2    1   1   0     5    3    2     4 ----WD
3    Sevilla                   2    1   1   0     4    2    2     4 ----WD
4    Celta_Vigo                2    1   1   0     6    5    1     4 ----WD
5    Valencia                  2    1   0   1     5    5    0     3 ----LW
6    Real_Oviedo               2    1   0   1     4    5   -1     3 ----LW
7    Atletico_Madrid           2    0   2   0     4    4    0     2 ----DD
8    Barcelona                 2    0   2   0     2    2    0     2 ----DD
9    Getafe                    2    0   2   0     1    1    0     2 ----DD
10   Rayo_Vallecano            2    0   1   1     3    4   -1     1 ----DL
11   Real_Mallorca             2    0   0   2     4    7   -3     0 ----LL
12   Deportivo_La_Coruna       2    0   0   2     3    8   -5     0 ----LL







