Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Bijlow      28 hol 21  1  1  2 20 165 973 973  49  16   0 1519   0 111  23   0   0   0   0   0   0   0   0 100
Luis_Junior   25 bra 17  1  1  1 22 880 120 120 120   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Renato_Veiga  22 por  1 18  5  1 38 110 550 550 220   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Logan_Costa   24 fra  1 17  5  1 36 220 750 670 220   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafa_Marin    23 spa  1 17  5  1 40  90 880 860 120   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Foyth    28 arg  1 16  5  1 38  50 920 990 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Costa       26 POR  1 16  8  6 25 585 355 210 246  16   0 1519   1   0   0  24  15   9   1   0   2   0   0 100
Y_Sugawara    25 jap  1 16  7  6 25 577 196 236 180  16   0 1519   0   0   0  14  19  11   0   1   4   0   0 100
Pau_Navarro   20 spa  1 16  4  4 20 110 670 670 670   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Mourino     24 uru  1 16  4  4 18  90 880 880 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Kambwala    21 fra  1 15  5  1 34 120 770 775 225   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Casemiro      34 bra  1  5 19  5 33 561 801  96 954  12   0 1022   0   0   0   3  40   6   0   3   8   0   0 100
Papa_Gueye    27 sen  1  6 19  5 34 110 330 330 330   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ederson       27 bra  1  5 18  7 26 503  87 793 929   7   0  655   0   0   0   1  18   6   0   2   0   0   0  62
S_Comesana    29 spa  1  5 16  5 30  80 770 770 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  
E_Haaland     26 nor  1  2  8 25 38 822 481  10 984  16   0 1519   4   0   0   2  13  83   8   0   6   0   0 100
A_Griezmann   35 fra  1  3  7 19 26 684 266 714 868   6   0  550   0   0   0   1   6  17   1   0   4   0   0  91
G_Mikautadze  25 geo  1  4  7 18 32 110 220 430 430   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Buchanan    27 can  1  2  6 17 20 330 230 800 800   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Oluwaseyi   25 can  1  3  5 16 32 100 200 500 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ayose_Perez   32 spa  1  3  5 16 30 200 240 770 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
 
