Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
David_Raya    32 spa 22  1  1  1 20 915 827 327 327   0   0   0   0   0   0   0   0   0   0 100
Neto          39 bra 10  1  1  1 18 927 327 327 327   0   0   0   0   0   0   0   0   0   0 100
Jakub_Kiwior  28 pol  1 17  6  2 38 327 337 167 617   0   0   0   0   0   0   0   0   0   0 100
R_Calafiori   26 ITA  1 17  5  6 20 327 130 355  17   0   0   0   0   0   0   0   0   0   0 100
M_L-Skelly    22 ENG  1 16  6  5 18 327  99 438 190   0   0   0   0   0   0   0   0   0   0 100
W_Saliba      27 fra  1 15  7  2 38 327 749 289 158   0   0   0   0   0   0   0   0   0   0 100
Radu_Dragusin 25 rom  1 15  7  2 37 441 640 742 168   0   0   0   0   0   0   0   0   0   0 100
M_Darmian     38 ita  1 13  6  6 24 827 621 759 367   0   0   0   0   0   0   0   0   0   0 100
R_Betancur    30 uru  1  6 17  3 38 305  21 251 416   0   0   0   0   0   0   0   0   0   0 100
I_Sangare     31 ivo  1  7 17  3 34 327 115 982 375   0   0   0   0   0   0   0   0   0   0 100
Lucas_Ventura 30 bra  1  5 17  2 34 332  77 278 537   0   0   0   0   0   0   0   0   0   0 100
T_Partey      35 gha  1  5 16  3 36 327 328 798 966   0   0   0   0   0   0   0   0   0   0 100
M_Rosiak      23 pol  1  5 16  2 36 259 940 162 894   0   0   0   0   0   0   0   0   0   0 100
G_Misehouy    23 hol  1  1 15  5 16 259 812 909 969   0   0   0   0   0   0   0   0   0   0 100
D_van_de_Beek 31 hol  1  3 15  4 28 327 847 626 953   0   0   0   0   0   0   0   0   0   0 100
G_Martinelli  27 bra  1  2  5 18 20 250 822 539  84   0   0   0   0   0   0   0   0   0   0 100
Gabriel_Jesus 31 bra  1  3  5 17 26 327 958 867 753   0   0   0   0   0   0   0   0   0   0 100
L_Trossard    34 bel  1  1  4 16 20 327 320 443 766   0   0   0   0   0   0   0   0   0   0 100
