Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alvaro_Valles 28 spa 16  1  1  1 17 581 420 420 420   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pau_Lopez     31 spa 16  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Natan         25 bra  1 19  6  2 37 510 170  65 652   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Gomez       22 arg  1 18  5  1 36 530 513 670 421   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Junior_Firpo  29 dom  1 17  5  5 19 540 156 359 595   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Angel_Ortiz   21 spa  1 16  5  4 17 480  20  40 525   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Llorente    32 spa  1 16  5  1 36 490 811 568 372   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Bellerin    31 spa  1 16  5  4 18 470 653 408 338   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Rodriguez   33 swi  1 16  5  5 20 460 653 411 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Altimira    24 spa  1  5 18  5 28 360 814 675 188   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Amrabat     29 tun  1  5 17  3 36 390 700 174  35   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Fidalgo     29 mex  1  4 17  5 28 292 798 800 758   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Lo_Celso    30 arg  1  2 17  5 20 370 786 328 265   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nelson_Deossa 26 col  1  5 17  4 30 370 710 950  21   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pablo_Fornals 30 spa  1  4 17  4 28 373 419 472 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marc_Roca     29 spa  1  5 16  2 30 120 550 550 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isco          33 spa  1  2 16  5 20 120 230 980 980   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Antony        26 bra  1  2  6 19 21 310 530 488 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Ezzalzouli  24 mor  1  2  6 19 30 205 686 896 853   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Hernandez   26 col  1  3  5 18 18 330 650 980 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Chimy_Avila   32 arg  1  3  5 16 31 266 611  45 443   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Bakambu     35 con  1  1  5 16 18  90  90 770 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
