Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jean_Butez    30 fra 17  1  1  1 17 591 420 420 420   1   0   95   0   5   2   0   0   0   0   0   0   0   0 100
N_Cavlina     23 cro 16  1  1  1 20 936 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Menke       19 bra 16  1  1  1 18 990 133 233 145   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jacobo_Ramon  21 spa  1 19  6  2 37 510 200  82 649   1   0   95   0   0   0   3   1   0   0   0   2   0   0  93
Alex_Valle    21 spa  1 17  5  4 16 530 526 670 421   1   0   95   0   0   0   1   0   0   0   0   0   0   0  93
Diego_Carlos  33 bra  1 17  5  4 19 540 169 380 621   1   0   95   0   0   0   1   1   1   0   0   0   0   0  93
M_O_Kempf     31 ger  1 16  5  2 37 480  20  40 525   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Smolcic     25 cro  1 16  5  4 20 490 811 568 372   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Goldaniga   32 ita  1 16  5  1 36 470 653 408 338   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Moreno      33 spa  1 16  5  4 20 460 653 411 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nico_Paz      21 arg  1  2 20  6 20 360 814 705 192   1   0   95   0   0   0   0   5   1   0   0   0   0   0  93
M_Perrone     23 arg  1  6 19  2 31 390 700 195  63   1   0   95   0   0   0   0   3   1   0   0   0   0   0  93
M_Baturina    23 cro  1  2 18  5 18 292 798 816 763   1   0   95   0   0   0   0   2   1   0   0   0   0   0  93
L_De_Cunha    24 fra  1  4 18  5 23 370 786 368 265   1   0   95   0   0   0   0   5   0   0   0   0   0   0  93
M_Caqueret    26 fra  1  5 18  4 26 370 735 958  21   1   0   57   0   0   0   1   1   0   0   0   0   0   0 100
Adrian_Lahdo  18 swe  1  5 17  5 24 373 444 481 141   1   1   38   0   0   0   1   1   0   0   0   0   0   0 100
Sergi_Roberto 34 spa  1  4 16  5 28 220 455 755 755   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Rodriguez   20 spa  1  1  5 19 21 310 530 509 603   1   0   95   1   0   0   0   1  11   2   0   0   0   0  93
Assana_Diao   20 sen  1  2  5 19 20 205 683 893 843   1   0   57   0   0   0   0   0   3   0   0   2   0   0 100
Jayden_Addai  20 hol  1  1  5 18 20 330 650 980 377   1   1   38   0   0   0   0   0   2   0   0   0   0   0 100
A_Douvikas    26 gre  1  3  5 18 30 266 611  45 443   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nicolas_Kuhn  26 ger  1  1  5 17 18  90  90 770 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
