Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Luca_Zidane   27 fra 11  1  1  1 17 625 420 420 420   1   0   96   0   5   2   0   0   0   0   0   0   0   0 100
A_Astralaga   22 spa 10  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Oscar_Nassei  21 gha  1 12  5  2 27 510 248 106 735   1   0   96   0   0   0   2   1   1   1   0   0   0   0  93
Loic_Williams 24 spa  1 11  5  1 36 530 558 710 442   1   0   96   0   0   0   1   0   0   0   0   0   0   0  93
Manu_Lama     25 spa  1 11  5  2 39 540 266 377 626   1   0   96   0   0   0   3   0   0   0   0   2   0   0  93
Bambo_Diaby   28 spa  1 11  5  2 37 480  39 129 525   1   0   96   0   0   0   1   0   0   0   0   0   0   0  93
Biala_Diallo  24 sen  1 11  5  3 20 490 823 566 397   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Hormigo     23 spa  1 10  4  4 20 470 695 408 338   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Casadesus   22 spa  1 10  5  5 20 460 653 411 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedro_Aleman  24 spa  1  4 12  4 28 360 840 777 249   1   0   96   0   0   0   1   3   0   0   0   0   0   0  93
Sergio_Ruiz   31 spa  1  4 11  4 31 390 752 332  70   1   0   96   0   0   0   0   3   2   0   1   0   0   0  93
Luka_Gagnidze 23 geo  1  4 11  4 28 292 798 905 779   1   0   45   0   0   0   0   1   1   0   0   0   0   0 100
Izan_Gonzalez 21 spa  1  4 11  4 23 370 786 388 280   1   1   51   0   0   0   0   2   1   0   0   0   0   0 100
Ruben_Alcaraz 34 spa  1  4 10  5 26 370 710 950  21   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Trigueros   34 spa  1  5 10  3 28 373 419 472 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gonzalo_Petit 19 uru  1  3  5 12 21 310 528 507 557   1   0   96   0   0   0   0   1   1   0   0   0   0   0  93
Alex_Sola     26 spa  1  2  4 11 20 205 683 915 899   1   0   96   0   0   0   0   0   3   0   0   2   0   0  93
Jorge_Pascual 23 spa  1  3  5 11 28 330 647  44 407   1   0   45   0   0   0   0   0   1   0   0   0   0   0 100
S_Rodelas     21 spa  1  1  4 11 21 266 611  45 492   1   1   51   0   0   0   0   0   1   0   0   0   0   0 100
Baba_Diocou   20 spa  1  1  4 11 18  90  90 770 754   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
