Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Falcone     31 ita 11  1  1  1 17 669 420 420 420   1   0  128   0   5   3   0   0   0   0   0   0   0   0 100
C_Fruchti     26 ger 10  1  1  1 20 936 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Gabriel     21 por  1 12  5  2 37 510 227 107 652   1   0  128   0   0   0   1   1   0   0   0   0   0   0  85
J_Siebert     24 ger  1 11  5  1 36 530 541 712 421   1   0  128   0   0   0   0   2   0   0   0   0   0   0  85
A_Gallo       26 ita  1 11  5  4 19 540 231 401 595   1   0  128   0   0   0   1   1   0   0   0   0   0   0  85
Gaspar        28 ang  1 11  5  2 37 480  20 108 533   1   0  128   0   0   0   0   1   0   0   1   0   0   0  85
Danilo_Veiga  23 bra  1 11  5  4 20 490 863 568 392   1   0  128   0   0   0   2   0   1   0   0   0   0   0  85
Gaby_Jean     26 fra  1 11  5  1 36 470 681 408 338   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matias_Perez  21 chl  1 10  5  1 38 460 667 411 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Berisha     22 alb  1  5 12  4 28 360 839 727 214   1   0  128   0   0   0   0   3   1   0   0   0   0   0  85
O_Gandelman   25 isr  1  2 11  5 16 390 700 214  59   1   0  128   0   0   0   0   2   1   0   0   0   0   0  85
Oumar_Ngom    22 mau  1  5 11  2 38 292 798 810 786   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
T_J_Helgason  25 nor  1  4 11  5 23 370 786 343 304   1   1   83   0   0   0   0   1   1   0   0   0   0   0  97
L_Coulibaly   30 mal  1  4 11  4 26 370 736 990  47   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Ramadani    30 alb  1  4 11  4 24 373 419 502 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sadik_Fofana  22 tog  1  4 11  2 38 220 452 772 752   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Camarda     18 ita  1  4  5 12 31 310 530 509 637   1   0  128   0   0   0   0   0   4   1   0   0   0   0  85
Nikola_Stulic 24 ser  1  3  5 11 32 205 686 938 861   1   0   45   0   0   0   0   1   0   0   0   0   0   0 100
R_Sottil      26 ita  1  1  5 11 20 330 647 977 434   1   1   83   0   0   0   0   0   2   1   0   0   0   0  97
Lameck_Banda  25 zam  1  1  4 11 18 266 611  45 443   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
