Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Patterson   25 eng 17  1  1  1 20 130 805 305 305   1   0   96   0   5   1   0   0   0   0   0   0   0   0 100
Max_Crocombe  32 nze 16  1  1  1 18 515 251 251 251   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lukas_Jensen  23 den 16  1  1  1 32 842 373 801 311   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tristan_Crama 24 fra  1 16  5  1 38 983 312  47 784   1   0   96   0   0   0   0   1   0   0   0   0   0   0  93
Caleb_Taylor  23 eng  1 16  5  1 36 960 218 341 582   1   0   96   0   0   0   1   1   1   0   0   0   0   0  93
Zak_Sturge    21 eng  1 16  5  4 18 712 424  89 739   1   0   96   0   0   0   2   0   0   0   0   2   0   0  93
Jake_Cooper   31 eng  1 16  5  1 36 570 908 606 572   1   0   96   0   0   0   0   0   0   0   0   0   0   0  93
D_McNamara    27 ire  1 16  5  4 16 423 156 910 624   1   0   45   0   0   0   1   0   0   0   0   0   0   0 100
Joe_Bryan     32 eng  1 16  4  4 20 220 541 191   6   1   1   51   0   0   0   1   0   0   0   0   0   0   0 100
Alfie_Doughty 26 eng  1  2 17  5 18 305 927 148 921   1   0   96   0   0   0   0   2   1   0   0   0   0   0  93
Femi_Azeez    24 enf  1  2 17  4 18 110 912 228 543   1   0   96   0   0   0   0   0   3   0   0   2   0   0  93
W_Smallbone   26 ire  1  4 16  4 26 310 218 836  14   1   0   96   0   0   0   0   1   0   0   0   0   0   0  93
Luke_Cundle   23 eng  1  4 16  4 27 305 614 353 117   1   0   45   0   0   0   0   1   1   0   0   0   0   0 100
B_Mitchell    25 eng  1  6 16  2 33  96 791 234 627   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_De_Norre    29 bel  1  5 16  2 36 110 650 670 320   1   1   51   0   0   0   0   2   0   0   0   0   0   0 100
Daniel_Kelly  20 sco  1  4 15  4 26  90 550 500 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tom_Watson    20 eng  1  1  5 17 20 593  64 922 624   1   0   96   0   0   0   0   0   5   0   0   0   0   0  93
M_Ivanovic    21 ser  1  3  5 16 28 472 188 234 969   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thierno_Ballo 24 aut  1  2  5 16 20 916 211 335  12   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_Coburn   23 eng  1  3  5 16 30 343  71 347 732   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Camiel_Neghli 24 alg  1  2  4 16 22 110 320 975 117   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Zak_Lovelace  20 eng  1  2  4 15 16 220 430 860   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
