Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
John_Victor   30 bra 12  1  1  1 17 650 420 420 420   1   0   96   0   0   1   0   0   0   0   0   0   0   0 100
Stefan_Ortega 33 ger 11  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mats_Sels     34 bel 11  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Angus_Gunn    30 sco 10  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Murillo       23 bra  1 13  5  2 37 510 223  82 679   1   0   96   0   0   0   0   0   0   0   0   0   0   0  93
N_Milenkovic  28 ser  1 12  5  1 36 530 513 670 437   1   0   96   0   0   0   0   0   0   0   0   0   0   0  93
Neco_Williams 25 wal  1 12  5  5 19 540 202 359 595   1   0   96   0   0   0   1   0   0   0   0   0   0   0  93
Ola_Aina      29 nig  1 12  5  4 17 480 119  79 522   1   0   96   0   0   0   4   0   0   0   0   2   0   0  93
Jair_Cunha    21 bra  1 11  5  1 36 490 838 607 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Morato        24 bra  1 11  5  1 36 470 668 408 397   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luka_Netz     23 ger  1 11  4  4 25 460 668 411 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Zach_Abbott   20 eng  1 10  5  1 36 190 838 607 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Anderson    23 eng  1  5 13  5 26 360 864 754 198   1   0   96   0   0   0   1   0   0   0   0   0   0   0  93
O_Hutchinson  22 eng  1  2 12  5 21 390 698 220  52   1   0   96   0   0   0   0   2   1   0   0   0   0   0  93
I_Sangare     28 ivo  1  5 12  2 38 292 818 805 779   1   0   96   0   0   0   1   0   0   0   0   2   0   0  93
N_Dominguez   27 arg  1  4 12  4 23 370 786 364 265   1   0   59   0   0   0   0   0   0   0   0   0   0   0 100
Ryan_Yates    28 eng  1  4 11  4 22 370 710 985  45   1   1   37   0   0   0   0   1   0   0   0   0   0   0 100
James_McAtee  23 eng  1  2 11  4 20 373 419 494 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dan_Ndoye     25 swi  1  2  5 13 21 310 528 486 550   1   0   96   0   0   0   0   0   1   0   0   0   0   0  93
C_Hudson-Odoi 25 eng  1  2  4 12 20 205 684 916 901   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
Igor_Jesus    25 bra  1  3  4 12 26 330 650 980 436   1   1   51   0   0   0   0   0   1   0   0   0   0   0 100
L_Lucca       25 ita  1  3  4 12 31 266 611  45 451   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Awoniyi     28 nig  1  3  5 11 30 330 650 980 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
