Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Yevhann_Diouf 26 sen 11  1  1  1 17 704 420 420 420   1   0   93   0   7   4   0   0   0   0   0   0   0   0 100
Maxime_Dupe   33 fra 10  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juma_Bah      20 sie  1 11  5  2 37 510 242  82 679   1   0   93   0   0   0   1   0   0   0   0   0   0   0  94
Antoine_Mendy 22 sen  1 11  5  1 36 530 548 667 434   1   0   93   0   0   0   2   0   0   0   0   2   0   0  94
K_P_Oppong    22 gha  1 11  5  1 39 540 174 349 585   1   0   17   0   0   0   0   0   0   0   0  10   0   1 100
Melvin_Bard   25 fra  1 11  5  4 17 480  50 124 545   1   0   93   0   0   0   0   2   1   0   0   0   0   0  94
Moise_Bombito 26 can  1 10  5  1 36 490 835 604 366   1   0   45   0   0   0   0   0   0   0   0   2   0   0 100
John_Clauss   33 fra  1 10  5  4 20 470 688 408 397   1   1   48   0   0   0   1   0   0   0   0   0   0   0 100
M_Abdelmonem  27 egy  1 10  4  1 35 460 668 411 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ali_Abdi      32 tun  1 10  4  4 16 190 838 607 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Boudaoui    26 alg  1  4 11  5 22 360 839 804 217   1   0   93   0   0   0   0   2   1   0   1   0   0   0  94
C_Vanhoutte   27 bel  1  5 11  2 36 390 688 197  23   1   0   64   0   0   0   0   1   0   0   0  10   0   1 100
Tom_Louchet   23 fra  1  1 11  4 20 292 796 838 853   1   0   93   0   0   0   0   2   2   1   0   0   0   0  94
S_Abdul_Samed 26 gha  1  5 10  2 30 370 786 364 265   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
Morgan_Sanson 31 fra  1  4 10  4 28 370 710 986  65   1   1   48   0   0   0   0   1   1   0   0   0   0   0 100
T_Ndombele    29 fra  1  4 10  4 26 373 419 494 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Everton       19 bra  1  4 10  2 34 373 419 494 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Elye_Wahi     23 ivo  1  3  5 12 31 310 528 486 603   1   0   93   0   0   0   0   0   3   1   0   0   0   0  94
M_Ali-Cho     22 fra  1  1  5 11 20 205 684 916 901   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sofiane_Diop  25 mor  1  1  4 11 20 330 650 980 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kail_Boudache 19 alg  1  1  4 10 16 266 611  45 451   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isak_Jansson  24 swe  1  1  4 10 16 330 650 980 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Carlos  25 spa  1  3  4 10 32 330 650 980 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tiago_Gouveia 24 por  1  1  4 10 20 330 650 980 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
