Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Zion_Suzuki   23 jap 18  1  1  1 17 566 420 420 420   2   0  189   0  11   7   0   0   0   0   0   0   0   0 100
E_Corvi       25 ita 16  1  1  1 20 936 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Circati     22 aus  1 17  5  2 37 510 173  76 642   1   0   73   0   0   0   1   1   0   0   0  10   0   0 100
S_Britschgi   19 swi  1 17  5  5 16 530 575 667 418   2   0  189   0   0   0   5   0   0   0   0   2   0   0  86
M_Troilo      22 arg  1 16  5  1 39 540 170 401 595   1   0   95   0   0   0   1   2   0   0   0   0   0   0 100
A_N'Diaye     24 sen  1 16  5  1 34 480  17  58 522   2   0  139   0   0   0   0   1   0   0   0   2   0   0  93
E_Delprato    26 ita  1 16  5  4 16 490 915 610 378   2   1  144   0   0   0   6   2   1   0   0   0   0   0  93
F_Carboni     23 arg  1 16  5  4 16 470 991 908 938   1   0   94   0   0   0   2   0   0   0   0   0   0   0  93
M_Keita       23 bel  1  6 18  4 28 360 804 673 184   1   0   54   0   0   0   0   1   1   0   0  10   0   0 100
A_Bernabe     24 spa  1  5 17  5 26 390 725 228  60   2   0  151   0   0   0   1   6   1   0   0   0   0   0  93
O_Sorensen    24 den  1  5 16  4 28 292 798 830 784   2   1  132   0   0   0   0   3   1   0   0   0   0   0  93
C_Ordonez     21 arg  1  5 16  4 30 370 786 948 965   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
G_Oristanio   23 ita  1  2 16  5 16 370 710 980  21   1   1   49   0   0   0   0   1   0   0   0   0   0   0 100
B_Cremaschi   21 usa  1  4 16  4 34 373 419 472 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Estevez     30 arg  1  4 16  2 38 220 955 955 755   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pellegrino  24 arg  1  4  5 17 30 310 524 524 570   2   0  189   0   0   0   0   2   2   0   0   4   0   0  86
Matija_Frigan 23 cro  1  3  5 16 31 205 683 914 848   2   0  189   0   0   0   0   1   7   0   0   2   0   0  86
G_Strefezza   29 bra  1  1  6 16 20 330 650  44 371   2   0  140   0   0   0   0   3   7   0   0   0   0   0  99
P_Almqvist    26 swe  1  1  4 16 18 266 640  45 455   2   1  144   0   0   0   1   0   8   0   0   0   0   0 100
