Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Vandervoort 24 bel 11  1  1  1 17 654 420 420 420   1   0   97   0   2   3   0   0   0   0   0   0   0   0 100
P_Gulacsi     36 hun 10  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Zingerle    32 ger 10  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Lukeba      23 fra  1 13  5  2 37 510 257  82 679   1   0   97   0   0   0   2   0   0   0   0   0   0   0  91
David_Raum    28 ger  1 12  5  4 16 530 549 691 452   1   0   97   0   0   0   2   1   1   0   0   0   0   0  91
E_C-Bitshiabu 21 fra  1 12  5  1 39 540 220 359 595   1   0   97   0   0   0   2   0   0   0   0   0   0   0  91
Ridle_Baku    28 ger  1 11  5  4 17 480  50  82 525   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Heinrichs   29 ger  1 11  5  4 16 490 838 607 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Nedeljkovic 20 ser  1 10  5  4 20 470 668 408 397   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Max_Finkgrafe 22 ger  1 10  4  4 25 460 668 411 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Willi_Orban   33 hun  1 10  5  1 36 190 838 607 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Baumgartner 26 aut  1  2 13  5 22 360 839 798 198   1   0   97   0   0   0   0   2   0   0   1   0   0   0  91
Brajan_Gruda  22 ger  1  2 13  5 21 390 695 228  49   1   0   97   0   0   0   0   3   1   0   0   2   0   0  91
A_Ouedragao   20 ger  1  3 13  4 28 292 796 860 782   1   0   97   0   0   0   0   4   0   0   0   0   0   0  91
N_Seiwald     25 aut  1  5 12  2 30 370 786 420 287   1   0   97   0   0   0   0   4   1   0   0   0   0   0  91
E_Banzuzi     21 hol  1  4 12  4 22 370 710 998  65   1   0   59   0   0   0   0   2   1   0   0   0   0   0 100
X_Schlager    28 aut  1  4 11  4 26 373 419 494 141   1   1   38   0   0   0   0   0   0   0   0   0   0   0 100
A_Maksimovic  19 ser  1  2 11  4 18 373 419 494 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yan_Diomande  19 ivo  1  1  5 13 21 310 528 486 605   1   0   97   0   0   0   0   0   4   1   0   0   0   0  91
Romulo        23 bra  1  3  5 13 30 205 684 916 973   1   0   59   0   0   0   0   0   5   1   0   0   0   0 100
J_Bakayoko    23 bel  1  1  5 12 20 330 650 980 455   1   1   38   0   0   0   0   0   3   0   0   0   0   0 100
Conrad_Harder 21 den  1  3  4 12 31 266 611  45 451   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Suleman_Sani  19 nig  1  1  5 11 16 330 650 980 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tidiam_Gomis  19 fra  1  1  5 10 18 330 650 980 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Thomas      18 hol  1  1  4 10 20 330 650 980 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
