Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Muric       27 kos 17  1  1  1 17 581 420 420 420   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Turati      24 ita 16  1  1  1 20 936 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Muharemovic 23 bos  1 18  5  2 37 510 170  65 652   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jay_Idzes     25 hol  1 17  5  1 36 530 513 670 421   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_Doig     23 sco  1 16  5  4 19 540 156 359 595   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Walukiewicz 26 pol  1 16  5  4 21 480  20  40 525   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fali_Cande    28 gui  1 16  5  1 36 490 811 568 372   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
U_Garcia      30 swi  1 16  5  4 16 470 653 408 338   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Pieragnolo  23 ita  1 16  5  3 18 460 653 411 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ismael_Kone   23 can  1  5 18  4 28 360 814 675 188   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Thorsvedt   27 nor  1  4 17  5 16 390 700 174  35   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Volpato     22 ita  1  5 17  4 28 292 798 800 758   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luca_Lipani   20 ita  1  5 16  2 33 370 786 328 265   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Vranckx     23 bel  1  4 16  4 26 370 710 950  21   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Boloca      27 ita  1  5 16  2 34 373 419 472 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Iannoni     25 ita  1  4 16  4 28 220 455 755 755   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Lauriente   27 fra  1  2  5 17 20 310 530 488 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Berardi     31 ita  1  2  5 16 21 205 686 896 853   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alieu_Fadera  24 gam  1  1  5 16 20 330 650 980 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luca_Moro     25 ita  1  3  4 16 18 266 611  45 443   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
