Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alex_Remiro   31 spa 18  1  1  1 17 581 420 420 420   1   0   95   0   2   1   0   0   0   0   0   0   0   0 100
Unai_Marrero  24 spa 16  1  1  1 20 536 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jon_Martin    19 spa  1 18  6  2 37 510 170  65 652   1   0   95   0   0   0   0   0   0   0   0   0   0   0  93
Sergio_Gomez  25 spa  1 18  5  4 16 530 513 670 421   1   0   95   0   0   0   0   0   0   0   0   0   0   0  93
J_Aramburu    23 ven  1 18  5  4 19 540 180 359 595   1   0   95   0   0   0   2   0   0   0   0   0   0   0  93
I_Zubeldia    29 spa  1 17  5  2 37 480  33  61 525   1   0   95   0   0   0   1   1   0   0   0   0   0   0  93
Aihen_Munoz   28 spa  1 17  5  4 20 490 811 568 372   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
A_Elustondo   32 spa  1 17  5  1 38 470 666 408 338   1   1   50   0   0   0   1   0   0   0   0   0   0   0 100
A_Odriozola   30 spa  1 16  5  5 20 460 653 411 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Gor'txategi 24 spa  1  7 18  3 38 360 814 683 188   1   0   95   0   0   0   0   1   0   0   0   0   0   0  93
Brais_Mendez  29 spa  1  2 18  5 20 390 700 182  35   1   0   95   0   0   0   0   1   0   0   0   0   0   0  93
B_Turrientes  24 spa  1  4 17  5 28 292 798 800 758   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luka_Sucic    23 cro  1  5 17  4 26 370 786 328 265   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Zakharyan   22 rus  1  2 17  5 20 370 710 950  21   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Herrera     28 ven  1  4 17  4 28 373 419 472 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Soler  29 spa  1  5 16  5 30 120 550 550 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pablo_Marin   22 spa  1  2 16  5 20 120 230 880 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Kubo        24 jap  1  2  5 19 21 310 530 488 550   1   0   95   0   0   0   0   0   0   0   0   0   0   0  93
M_Oyarzabal   28 spa  1  3  4 19 30 205 686 896 853   1   0   95   0   0   0   0   0   1   0   0   0   0   0  93
A_Barrenetxea 24 spa  1  2  5 18 18 330 650 980 379   1   0   57   0   0   0   0   0   1   0   0   0   0   0 100
O_Oskarsson   21 ice  1  3  5 17 31 266 611  45 443   1   1   38   0   0   0   0   0   0   0   0   0   0   0 100
G_Guedes      29 por  1  1  5 16 18  90  90 770 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
