Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
E_Martinez    35 arg 22  1  1  1 22 713 436 947 887   1   7   0   0   0   0   0   0   0   0 100
Pedro_Porro   28 spa  1 17  6  5 20 634 672 817 569   1   0   4   4   1   0   0   0   0   0  85
Amar_Milisic  21 bel  1 17  7  2 38 445 231 259 838   1   0   5   1   0   0   0   0   0   0  85
A_Phillips    22 eng  1 16  6  1 36 305 752 673 859   1   0   3   1   0   0   0   0   0   0  85
H_Pickering   28 eng  1 15  5  4 20 315 645 155 588   0   0   0   0   0   0   0   0   0   0 100
Maeson_King   21 eng  1 15  6  1 38 415 721 818 854   0   0   0   0   0   0   0   0   0   0 100
Jose_Gabriel  21 bra  1 15  6  6 21 699 793 614 247   0   0   0   0   0   0   0   0   0   0 100
L_Clarkson    25 eng  1  4 17  6 30 128 365 505 197   1   0   0   3   1   0   0   0   0   0  85
Max_McFadden  21 eng  1  2 17  7 20 305 890 187 105   1   0   0   5   2   0   0   0   0   0  85
D_Brasolin    21 ita  2  4 17  6 20 497 851 269 782   1   0   0   3   2   0   0   2   0   0  85
Tom_Bischof   22 ger  1  4 16  6 22 320 630 942 607   1   0   0   1   2   0   0   0   0   0 100
M_Perrone     21 arg  1  7 16  3 38 450 209 360 624   1   0   0   1   1   0   0   2   0   0  97
R_Onyedika    26 nig  1  6 14  3 36 385 613 775 485   0   0   0   0   0   0   0   0   0   0 100
G_Raspadori   24 ita  1  4  6 18 30 140 396 834  47   1   0   0   1   6   2   0   0   0   0  85
Will_Jackson  23 eng  1  4  7 16 24 604 240  61 988   1   0   0   1   6   0   0   0   0   0  85
Alejo_Veliz   23 arg  1  3  6 16 26 295 812 392 949   1   0   0   0   2   0   0   0   0   0 100
C_Tzolis      25 gre  1  1  5 16 20 326 513 391 125   1   0   0   1   7   2   0   0   0   0  97
Thiago_Almada 23 arg  1  2  4 16 22 480 965 987 209   0   0   0   0   0   0   0   0   0   0 100
