Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
V_Jaros       24 cze 12  1  1  1 22 454 758 937 396  20   0 1900   1 128  35   0   0   0   0   0   2   0   0 100
Marten_Paes   28 hol 10  1  1  1 20  85 509 509 509   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Trippier    35 eng  1 14  7  7 20 130 130 103 157  15   0 1423   0   0   0  15  16  15   2   3   4   0   0  80
Josip_Sutalo  26 CRO  1 12  5  1 38 693 525 980 702  12   0 1142   0   0   0  17   7   1   0   1   4   0   0  98
M_v_der_Lans  19 hol  1 11  5  1 36 215 198 179 366   8   0  763   0   0   0  10   7   5   1   1   0   0   0 100
Wouter_Goes   21 hol  1 11  5  1 34 118 852 858 279   5   0  474   0   0   0   3   3   2   0   0   0   0   0  91
Anton_Gaaei   23 den  1 11  4  5 16 815  30 833 963   1   0   94   0   0   0   1   0   0   0   0   0   0   0 100
Ko_Itakura    29 jap  1 11  4  2 38 900 866 917  95  12   0 1143   0   0   0  17  11   3   1   1   4   0   0 100
O_Zinchenko   29 ukr  1 11  4  4 16 727 398 905 427   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jan_Plug      20 hol  1 10  5  1 32 123 985 941 129   1   0   95   0   0   0   2   1   0   0   0   0   0   0 100
Lucas_Rosa    26 bra  1 10  4  4 20 145 585 585 585   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kees_Smit     20 hol  1  4 12  5 26 130 595 146  21   5   0  474   1   0   0   1  12   5   1   2   4   0   0  91
Jorthy_Mokio  18 bel  1  5 11  2 36 568 553 518 176   5   0  410   0   0   0   0  10   0   0   0   0   0   0  98
Sten_Steur    18 hol  1  5 11  5 26 621 119 729 316  16   0 1522   2   0   0   5  36  11   4   6   0   0   0  80
Youri_Regeer  22 HOL  1  5 11  2 36 962  99 667 664  18   0 1217   0   0   0   1  31  10   2   7   4   0   0 100
Paul_Wanner   20 aut  1  2 11  6 18 626 986 745 153  15   6 1107   0   0   0   1  26   7   2   1   2   0   0 100
Kian_Fitz-Jim 22 hol  1  4 10  3 30 145 861 904 346  18  16  715   0   0   0   1  16   3   0   0   2   0   0 100
N_Fernandez   18 bel  1  4 10  4 26 163 815 707 709   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Brian_Brobbey 24 hol  1  3  6 12 30 135 250 495 687   7   0  663   0   0   0   0   3  23   2   1   2   0   0  88
Emre_Unuvar   18 hol  1  3  4 12 28 656 753 442 929  20   0 1876   1   0   0   3   8  76  15   2   8   0   0  86
Maher_Carrizo 20 arg  1  1  6 11 20 502 192 155 565   6   1  454   0   0   0   0   4  26   2   0  12   0   1 100
Kayden_Wolf   19 hol  2  2  5 11 16  18  90 470 357   8   2  471   0   0   0   2   5  22   2   0   0   0   0 100
