Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_Raya    31 spa 13  1  1  1 22 458 768 947 406   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tommy_Setford 21 eng 11  2  1  1 20   6  30 677 472   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kepa          32 spa 10  1  1  1 20 295 519 519 519   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_White     29 eng  1 13  5  4 14 135 695  59 543   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Saliba      26 fra  1 13  6  1 36 455 760 380 653   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel       29 bra  1 13  5  1 38 703 208 734 743   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Timber      25 hol  1 13  5  5 18 910 718 102 643   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Hincapie    25 ecu  1 13  5  1 36 737 493 482 697   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Calafiori   24 ita  1 13  4  4 20  89 322 986 756   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_L-Skelly    20 eng  1 13  5  5 20 155 826 142 101   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Mosquera    22 spa  1 13  4  1 36 950 736 824 819   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Malacia     27 hol  1 11  5  4 20 265 416  87 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Odegaard    28 NOR  1  3 14  6 26 631 106 312  50   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eberechi_Eze  28 eng  1  2 13  6 18 972 320 816  26   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Declan_Rice   28 eng  1  7 13  3 32 513 189 635 646   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Zubimendi   28 spa  1  5 13  2 36 578 985 368 327   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mikel_Merino  30 spa  2  4 12  4 28 286 791 463 314   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Norgaard    33 den  1  4 12  2 30 155 906 127 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Gyokeres    28 SWE  1  4  6 14 30 957 109 611 152   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Vlahovic    27 ser  1  3  6 14 24 155 425 922 597   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Martinelli  25 bra  1  1  5 14 20 138 385 469 129   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kai_Havertz   27 ger  1  3  5 13 28 666 838 656 746   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bukayo_Saka   25 eng  1  2  6 13 20 442 390 552 504   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Madueke     25 eng  1  1  5 13 14 265 421  16 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel_Jesus 30 bra  1  3  5 12 30 143 612  65 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
