Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Carnesecchi 25 ita 12  1  1  1 22 102 748 927 386  15   0 1427   0 105  40   0   0   0   0   0   2   0   0 100
M_Sportiello  34 ita 10  1  1  1 20  75 499 499 499   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Scalvini    22 ITA  1 13  6  1 36 435 310  75 399  12   1 1053   0   0   0  10  11   4   0   0  10   0   0 100
Isak_Hien     27 SWE  1 12  5  2 38 890 636 370  62  12   1 1079   1   0   0  22  11   5   0   1  10   0   0  85
S_Kolasinac   32 bos  1 12  4  1 34  69  12 855 473   9   1  708   0   0   0   4   0   1   0   0  10   0   0  97
H_Ahanor      18 ita  1 11  5  1 38 683 671 352 733  10   1  846   0   0   0  13   3   3   1   1   4   0   0  94
O_Kossounou   25 ivo  1 11  5  1 36 717 689 161 507  11   0 1044   0   0   0  15  10   3   1   2   2   0   0  91
B_Djimsiti    33 alb  1 11  4  1 36 805 566 292 516   6   0  531   0   0   0   7   6   2   1   2   0   0   0  91
Leon_Goretzka 30 ger  1  6 13  6 30 137 662 934 783   7   0  542   0   0   0   4  19   7   0   0  12   0   0 100
Ederson       26 bra  1  5 13  5 32 493 941 281 548  12   0 1090   0   0   0   8  24   8   0   1   4   0   0  91
M_Nwaneri     19 eng  1  2 12  7 18 525 381  10 952   7   1  500   0   0   0   2   5   7   1   0   0   0   0 100
C_D_Ketelaere 25 bel  1  2 12  5 16 558 571 840 368  11   1  958   0   0   0   1  29  13   0   4   0   0   0  91
L_Samardzic   24 ser  1  2 12  4 21 135 856 125 311   9   1  714   0   0   0   1   8   2   0   1   0   0   0  91
Mario_Pasalic 31 cro  1  4 12  4 26 135 731  70 939   8   4  426   0   0   0   2   7   2   0   0   2   0   0  91
N_Zalewski    24 pol  1  2 11  5 18 952 103 696 523   8   1  564   0   0   0   0   9   9   0   1   0   0   0 100
R_Bellanova   25 ita  1  3 11  6 20 611   3 413  99   7   3  431   0   0   0   2   6   6   1   0   0   0   0 100
Yunus_Musah   23 usa  2  4 11  4 28 266 545 750 134   4   2  243   0   0   0   1   1   1   0   0   0   0   0 100
L_Bernasconi  22 ita  1  2 11  5 18 148 258 998  32   1   1   23   0   0   0   0   0   1   0   0   0   0   0 100
E_J_Kroupi    19 fra  1  1  5 12 18 525 354 709 410  11   3  856   2   0   0   1   4  38   4   0   0   0   0 100
G_Raspadori   26 ita  1  3  5 12 28 646 684 239  27   9   4  575   0   0   0   1   2  16   3   0   0   0   0  91
G_Scamacca    27 ita  1  3  6 11 28 422 119  64 737  12   1  989   1   0   0   0   3  36   7   0   4   0   0 100
N_Krstovic    26 mon  1  4  5 11 30 937   8 806 677   7   1  472   0   0   0   2   1  14   1   0   0   0   0 100
K_Sulemana    24 gha  1  1  4 11 14 245 169 680 622   5   1  390   0   0   0   0   4   9   1   0   2   0   0 100
