Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jan_Oblak     33 slo 11  1  1  1 22 293 723 902 361   1   0   95   0   8   1   0   0   0   0   0   0   0   0 100
Juan_Musso    32 arh 10  1  1  1 20 850 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Hancko  28 slo  1 12  5  1 36 410 597 575 261   1   0   95   0   0   0   1   2   0   0   0   0   0   0  93
Marc_Pubill   22 spa  1 12  5  1 38 658 388 227 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Le_Normand  29 spa  1 12  4  1 38 865 478 602 952   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Llorente    31 spa  1 11  4  4 16 692 882 914 392   1   0   95   0   0   0   1   2   0   0   0   0   0   0  93
M_Ruggeri     23 ita  1 11  4  4 14  44 870 840 460   1   0   64   0   0   0   1   0   1   0   0   0   0   0 100
N_Molina      28 arg  1 11  4  4 16 780 408  81 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_M_Gimenez   31 uru  1 11  4  1 36 113 778 775 213   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Lenglet     30 fra  1 11  6  1 38 118   3   3 251   1   1   31   0   0   0   0   0   0   0   0   0   0   0 100
Pablo_Barrios 22 spa  1  5 12  5 32 468 719 976 399   1   0   95   0   0   0   0   4   0   0   0   2   0   0  93
J_Cardoso     24 usa  1  5 12  5 28 533 518 366 141   1   0   74   0   0   0   0   1   0   0   1   0   0   0 100
R_Mendoza     21 spa  1  4 11  5 26 927  78 561 380   1   0   95   0   0   0   0   3   2   0   0   0   0   0  93
Obed_Vargas   20 mex  1  4 11  5 20 586 921 298 947   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Koke          34 spa  1  5 10  4 34 241 477 709 128   1   0   95   0   0   0   0   1   1   1   0   0   0   0  93
J_Alvarez     26 arg  1  3  6 12 28 397 100  30 920   1   0   95   1   0   0   0   1   4   0   1   0   0   0  93
Alex_Baena    24 spa  1  1  5 12 20 912 928 760 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Lookman     28 nig  1  1  5 12 18 621 632 172 766   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Simeone     23 arg  1  1  4 12 14 220 130 553 467   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nico_Gonzalez 28 arg  1  1  5 11 18 103 123 476 917   1   0   95   0   0   0   0   1   4   0   0   0   0   0  93
Thiago_Almada 25 arg  1  1  4 11 20 220 220 555 608   1   1   21   0   0   0   0   0   3   1   0   0   0   0 100
A_Griezmann   34 fra  1  3  4 11 26 110 667 916 981   1   0   95   0   0   0   0   1   2   0   0   0   0   0  93
