Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Trubin      24 ukr 12  1  1  1 22 458 738 917 376  11   0 1047   0  29  17   0   0   0   0   0   2   0   0 100
S_Soares      23 por 10  1  1  1 20 865 489 489 489   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Samuel_Dahl   23 swe  1 12  6  4 16 707  67 143 498  10   3  757   0   0   0   7  10   3   1   2   0   0   0  86
A_Silva       22 por  1 12  5  1 36 425 685 685 295  10   2  792   2   0   0   5   4   1   0   2  14   0   0  84
Tomas_Araujo  23 por  1 12  5  1 38 673 561 361 656   9   0  757   1   0   0   7   5   1   0   0   2   0   0  93
Alex_Bah      28 den  1 12  5  4 14  59 141  19 516   9   1  770   0   0   0  12   6   2   0   0   2   0   0  79
Amar_Dedic    23 bos  1 11  5  5 18 880 605 823  15   9   2  661   0   0   0   5   9   2   0   0   0   0   0 100
Diogo_Dalot   27 por  1 11  4  4 20  59 393 581 530   8   1  570   0   0   0   5   6   3   1   0   4   0   0  93
S_L_Cabral    23 hol  1 10  5  4 16 795 423  96 426   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Banjaqui    18 por  1 10  4  4 16 128 793 790 228   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jose_Neto     18 por  1 11  5  3 18 133   1   1 249   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Sudakov     23 ukr  1  2 13  5 12 483 734 187 508  10   1  801   0   0   0   0  13   6   0   4   2   0   0  84
F_Aursnes     30 nor  1  4 12  5 28 548 585 671 329   8   0  767   1   0   0   2  19   7   2   3   0   0   0  84
L_Barreiro    26 lux  1  4 12  5 26 942 165 679 417   8   0  767   0   0   0   3  11   4   0   0   4   0   0  84
E_Barrenechea 24 arg  1  5 11  3 36 601 947 509  29   7   0  564   0   0   0   0  11   1   1   1   4   0   0  93
Manu_Silva    24 por  1  4 11  2 34 256 587 995 126   8   3  580   0   0   0   3  14   1   0   0   0   0   0 100
Joao_Rego     20 por  1  2 10  5 20 138 233 790 897   1   1   50   0   0   0   0   0   0   0   0   2   0   0 100
Joao_Veloso   20 por  1  3 10  4 24 127 672 704 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Pavlidis    27 gre  1  3  6 13 28 412 115  59 271   9   1  715   0   0   0   0   3  30   4   0   0   0   0 100
D_Lukebakio   28 bel  1  1  5 12 20 927 963 829 768   8   2  569   1   0   0   1   3  22   4   0   6   0   0 100
A_Schjelderup 21 nor  1  1  5 12 18 636 647 297 992   9   1  609   1   0   0   0   4  15   2   1   0   0   0 100
F_Ivanovic    22 cro  1  3  4 12 24 235 193 694 666   8   4  581   0   0   0   2   6   9   4   0   4   0   0 100
G_Prestianni  20 arg  1  1  5 11 18 118 138 491 963   1   0   93   0   0   0   0   1   1   0   0   0   0   0 100
Bruma         31 por  1  1  4 10 18 118 238 791 791   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafa_Silva    32 por  1  3  4 10 28 235 235 570 570   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Anisio_Cabral 18 por  1  3  4 10 26 125 682 909 970   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
