Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Gregor_Kobel  28 swi 13  1  1  1 22  91 758 937 396  19   0 1743   0 114  44   0   0   0   0   0   2   0   0 100
P_Drewes      33 ger 10  1  1  1 20 888 509 509 509   1   1   69   0   1   1   0   0   0   0   0   0   0   0 100
N_Sch'terbeck 26 ger  1 13  5  1 36 445 162 852 387  14   1 1259   0   0   0  18  13   2   1   0   4   0   0  93
W_Anton       29 ger  1 12  6  1 36 727 102  92 421  10   1  907   0   0   0   9   8   0   0   1   4   0   0  91
J_Ryerson     28 nor  1 12  4  4 18 693 769 516 858  15   0 1435   1   0   0  18   9  12   0   2   2   0   0  74
D_Svensson    24 swe  1 11  5  5 18 900 815 827 151  12   0 1150   0   0   0  15   7   8   0   1   0   0   0  83
A_Kabar       19 GER  1 11  5  4 20 138 844 635 104  10   0  945   0   0   0   9   9   9   1   1   0   0   0  93
Niklas_Sule   30 ger  1 11  5  1 38 153 347  84 323  10   0  909   0   0   0  17   3   3   0   0   0   0   0 100
R_Bensebaini  31 alg  1 11  4  1 34  79 972 887 475   6   2  414   0   0   0   3   1   0   0   0   0   0   0 100
Emre_Can      32 ger  1 10  4  1 36 148 813 810 248   1   0   95   0   0   0   0   0   0   0   0   0   0   0 100
Felix_Nmecha  25 GER  1  5 14  5 32 503 865  24 998  18   0 1428   0   0   0   5  38  17   1   3   0   0   0  76
Bernard_Silva 31 por  1  2 13  8 22 133 217 892 753  12   0 1148   0   0   0   2  21  12   0   1   4   0   0  75
B_Guimaraes   28 bra  1  5 12  5 30 535 789 709 990  15   0 1141   1   0   0   6  25  10   3   1   8   0   0  93
Yan_Couto     23 bra  1  2 12  4 26 962 130 624 475   5   2  293   1   0   0   0   4   2   1   0   0   0   0  93
Julian_Brandt 30 ger  1  2 12  5 20 621 956 478  23   3   0  280   0   0   0   0   9   2   0   1   0   0   0  93
Archie_Gray   19 eng  1  5 12  4 20 535 660 294 605  11   7  540   0   0   0   1  10   4   0   1   0   0   0 100
Lewis_Miley   19 eng  1  5 12  4 20 535 652 111 773   7   2  564   0   0   0   0   8  11   1   1   0   0   0 100
C_Chukwuemeka 22 aut  1  4 12  4 34 276 538  18 343  14   8  692   1   0   0   1  14  12   1   1   0   0   0 100
M_Sabitzer    32 aut  1  4 10  5 28 141 780 817 868   4   0  374   0   0   0   3   3   5   1   0   0   0   0 100
Yan_Diomande  19 ivo  1  1  5 13 21 340 558 558 947  10   2  822   1   0   0   0   2  26   6   0   0   0   0  79
Max_Beier     23 ger  1  3  5 13 28 656 752 416 242  14   2 1008   1   0   0   2   6  39   3   2   2   0   0  93
Fabio_Silva   23 por  1  3  4 12 34 255 263 627 921  19  14  806   0   0   0   3   1  34   3   0   0   0   0  79
S_Guirassy    30 gui  1  3  5 13 30 947 987 960   3  11   0 1050   0   0   0   1   8  41   4   0   2   0   0  78
