Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Diogo_Costa   26 por 12  1  1  1 22 846 813 992 451  20   0 1909   0  77  37   0   0   0   0   0   0   0   0 100
Claudio_Ramos 34 por 11  1  1  1 20  44 564 564 564   3   0  315   0  12   5   0   0   0   0   0   2   0   0 100
Joel_Ordonez  22 ecu  1 13  5  5 26 172 181 511 486  10   0  847   0   0   0   9   5   5   0   0   0   0   0 100
Jakub_Kiwior  26 pol  1 13  5  1 36 500 184 746 402  19   2 1473   0   0   0  19   6   3   0   0   2   0   0  96
F_Moura       26 POR  1 12  5  4 16 782 954 666 659  15   1 1310   0   0   0  12   9   9   0   0   0   0   0  94
M_Fernandes   20 POR  1 12  5  4 20 134 833 362 669  17   1 1404   0   0   0  22   9   8   0   0   4   0   0  99
Alberta_Costa 22 por  1 11  5  4 18 748 778 519 909  16   4 1197   0   0   0  14   8   9   1   0   0   0   0 100
Nehuen_Perez  25 arg  1 11  5  2 38 955 778 882 148  17   7 1061   0   0   0  10   9   5   0   0  14   0   0 100
Jan_Bednarek  30 pol  1 11  4  1 36 870 767 402 542  12   3  853   0   0   0  14  10   1   1   1  14   0   0 100
Z_Sanusi      28 nig  1 11  5  4 18 208 150 116 437   7   1  565   0   0   0   4   2   5   1   0   2   0   0 100
Gabriel_Bas   22 por  1 10  5  1 36 540 889 663 391   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Mora  19 por  1  2 13  5 16 558 924 509 599  20   3 1565   0   0   0   4  32   7   0   4   0   0   0  94
Alan_Varela   24 arg  1  5 12  2 38 623 688 858 270  14   1 1271   0   0   0   3  28   2   0   2   8   0   0  95
V_Froholdt    20 den  2  4 12  4 26  18 162 979 617  16   0 1412   0   0   0   0  23   8   1   3   4   0   0  95
A_Ouedraogo   19 ger  1  4 12  7 22 590 587 284  12  12   0 1118   1   0   0   0  26   9   3   1   2   0   0 100
J_Manzambi    20 swi  1  4 12  5 28 152 408 544 521   6   2  400   0   0   0   1   3   7   1   0   2   0   0 100
Pablo_Rosario 29 hol  1  4 12  2 34 331 636  93 289  13   5  895   0   0   0   2  17   5   0   2   0   0   0 100
Gabri_Veiga   23 spa  1  3 11  5 20 676  48 641 157  13   6  874   0   0   0   1  15   6   0   1   6   0   0 100
Seko_Fofana   31 ivo  1  4 11  4 28 196 774  71 931   6   2  452   1   0   0   0  13   4   1   1   0   0   0 100
D_Andrade     23 ang  1  4 10  2 38 663 648 463 271   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Aghehowa    22 spa  1  3  6 13 32 487 245 267 552  15   1 1323   2   0   0   1   7  45   7   1   4   0   0  95
Borja_Sainz   25 spa  2  2  6 13 20   3  41  99 254  15   1 1325   4   0   0   1  11  56   8   1   4   0   0  99
William_Gomez 20 bra  1  1  4 12 21 711 716 322 462  14   1 1232   1   0   0   0   3  42   7   0   4   0   0  96
Pepe          29 bra  1  1  4 11 18 310 217 662 916  10   5  573   0   0   0   0   1  28   2   0   2   0   0 100
Yaan_Karamoh  27 fra  1  1  4 10 20 311 315 866 998   2   2   54   0   0   0   0   0   2   0   0   0   0   0 100
