Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Martinez    27 spa 10  1  1  1 22 236 743 922 381   1   0   96   0   3   3   0   0   0   0   0   0   0   0 100
Yan_Sommer    37 swi 10  1  1  1 20  70 494 494 494   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Phillips    18 eng 10  1  1  1 18 681 520 520 520   9   0  861   0  38  13   0   0   0   0   0   2   0   0 100
R_Di_Gennaro  32 ita  9  1  1  1 20 854 879 527 322   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bastoni     27 ITA  1 13  6  1 36 430 555 133 299   8   0  769   0   0   0  12   4   1   0   0   0   0   0  95
F_Dimarco     28 ita  1 12  5  4 18 678 516 331 674   7   2  586   0   0   0   6   4   3   0   0   0   0   0 100
D_Dumfries    30 hol  1 12  4  4 20  64 358 501 477   2   0  188   0   0   0   5   2   1   0   0   2   0   0 100
J_Vuskovic    19 cro  1 12  4  1 26 520 343 588 340   7   0  673   0   0   0   7   2   1   0   1   2   0   0  95
Patrick_Dorgu 21 den  1 12  4  4 18 712 527 978 544   6   0  573   0   0   0   8   4   4   2   0   0   0   0  93
M_van_der_Ven 25 hol  1 12  5  1 36 430 755 631 293   7   0  669   0   0   0   9   4   1   0   0   4   0   0  95
Manuel_Akanji 30 swi  1 11  5  1 36 800 428 143 449   2   0  188   0   0   0   0   2   1   0   0   0   0   0 100
S_de_Vrij     34 hol  1 10  5  1 38 130 570 570 570   1   0   92   0   0   0   0   0   0   0   0   0   0   0 100
F_Acerbi      38 ita  1 10  5  1 34 110 680 670 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Darmian     36 ita  1 10  5  4 22 150 470 680 680   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Frattesi    26 ITA  1  4 13  4 34 947 147 244 690   8   0  769   0   0   0   2  16   2   1   0   2   0   0  95
Nico_Barella  29 ita  1  5 12  5 25 488 811 788 538   8   0  769   1   0   0   3  21   8   0   3   4   0   0  95
Petar_Sucic   22 cro  1  4 12  5 26 553 647 604 373   8   0  769   1   0   0   3  13   9   1   2   2   0   0  95
H_Calhanoglu  32 tru  1  5 11  3 36 606 941 318 967   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andy_Diouf    22 fra  1  4 11  4 26 261 537 862 166   3   0  283   0   0   0   1   9   3   0   0   2   0   0 100
P_Zielinski   31 pol  1  4 11  4 30 130 375 816 475   2   1  138   0   0   0   0   2   0   0   0   0   0   0 100
D_Rice        18 sco  1  5 10  4 20 520 562 785 623   4   2  298   0   0   0   1   3   3   1   0   0   0   0 100
Dilan_Zarate  18 spa  1  4 10  4 30 947  98 616 387   2   0  188   0   0   0   0   5   1   0   0   0   0   0 100
L_Martinez    28 arg  1  3  6 12 36 417 141  59 455   9   2  593   1   0   0   1   3  20   3   0   4   0   0 100
C_Summerville 24 hol  1  1  6 12 20 412 112  96 456   9   1  705   1   0   0   0   5  15   5   0   2   0   0  98
Marcus_Thuram 28 fra  1  3  5 12 32 932 975 869 590   4   0  352   1   0   0   1   3   8   1   1   0   0   0 100
Pio_Esposito  20 ita  1  2  4 12 30 641 652 241 977   9   2  622   0   0   0   0   1  15   2   1   0   0   0  98
A-Y_Bonny     22 ivo  1  2  4 11 14 240 181 670 761   9   1  571   0   0   0   0   3  17   3   0   2   0   0 100
J_Iddrissou   18 ita  1  3  5 10 36 417 137  63 329   6   5  234   0   0   0   0   2   5   2   0   0   0   0 100
