Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mark_Flekken  33 hol 12  1  1  1 22 253 773 952 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jonas_Omlin   33 swi 10  1  1  1 20 100 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Quansah     24 eng  1 14  6  1 36 460  26 491 786   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Tapsoba     28 BUR  1 14  5  2 38 708 164 805 154   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Loic_Bade     27 fra  1 13  6  2 38 915 779 335 457   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Axel_Tape     19 fra  1 13  6  2 34  94   6 117  25   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Arthur        24 bra  1 13  4  5 20 830   5 741  44   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Issa_Traore   19 mal  1 11  5  1 38 140 998 218 820   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Malik_Tillman 24 USA  1  2 15  5 20 583 802 103 370   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ibrahim_Maza  21 alg  1  3 14  6 25 518 274 217  58   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Fernandez   24 arg  1  4 14  2 36 977 669 109 897   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Aleix_Garcia  29 spa  1  5 13  5 26 636 633 110 614   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Andrich     32 ger  1  5 12  3 38 291 835 197 249   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Hofmann     34 ger  1  2 11  5 18 160 260 297  31   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Kofane      20 cam  1  3  7 15 20 447 656  99 297   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ernest_Poku   23 hol  1  2  6 14 18 962 222 444 204   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Ben_Seghir  22 mor  1  1  5 14 14 270 377  94   3   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Patrik_Schick 31 cze  1  3  4 13 36 671 809 457 525   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nathan_Tella  27 nig  1  1  5 12 20 143 273 128 585   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
