Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Senne_Lammens 23 bel 13  1  1  1 22 484 813 992 451  18   0 1715   0 132  33   0   0   0   0   0   0   0   0 100
A_Bayinder    28 tur 10  1  1  1 20 140 564 564 564   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Mingueza    27 spa  1 13  6  6 20 200 759 888 887  10   0  951   0   0   0  17  11   8   0   0   4   0   0  74
L_Martinez    28 ARG  1 13  6  2 38 955 618 363 131  16   0 1295   0   0   0  16   8   2   1   0   4   0   0  65
Lenny_Yoro    20 FRA  1 13  5  1 36 500 430 940 533  11   0  996   0   0   0  15   3   5   2   0  12   0   0 100
M_de_Ligt     26 hol  1 12  5  1 38 748 870 467 708  11   0  888   0   0   0  20   4   0   0   2   2   0   0 100
Yaan_Bisseck  25 ger  1 12  5  2 38 955 675 798 105  11   6  613   0   0   0   5   3   2   0   1   0   0   0 100
N_Mazraoui    28 mor  1 11  4  4 20 200 769 772 725   8   6  333   0   0   0   5   2   1   1   2   0   0   0 100
A_Touchameni  26 fra  1  6 13  3 30 193 411 816 420  11   3  839   0   0   0   3  25   7   0   2   4   0   0  74
Kobbie_Mainoo 21 eng  1  5 13  5 25 558 920 106 708  14   0 1212   0   0   0   4  32  12   0   6   6   0   0  83
F_Mastantuono 18 arg  1  2 12  9 18 590 387 463 391  13   1 1164   1   0   0   0  17  23   4   2   2   0   0  79
Jo_Bellingham 20 eng  1  5 12  5 28 623 683 807 448  13   0 1171   0   0   0   3  22  12   1   4   0   0   0 100
M_Fernandes   21 por  1  5 12  6 25 558 849 864  30  14   0 1287   1   0   0   2  26  20   7   0  12   0   0  61
Casemiro      34 bra  2  5 12  3 38 331 598 181 267   9   2  647   0   0   0   0  16   2   1   4   2   0   0 100
Chris_Rigg    18 eng  1  4 12  5 20 590 650 245 879  12   4  742   0   0   0   1  18  10   0   1   0   0   0 100
Adam_Wharton  22 eng  1  5 12  4 24 590 615  74 782   9   2  635   2   0   0   1  19   8   2   3   0   0   0 100
Bryan_Mbeumo  26 cam  1  1  5 13 20 711 716 382 692  13   0 1201   4   0   0   0   6  54  15   0   4   0   0  75
M_Rashford    28 eng  1  3  6 13 24 202 311 760 645   4   0  351   2   0   0   0   6  18   3   0   0   0   0 100
B_Sesko       22 slo  2  4  6 13 38   3 124  96 291  14   3  986   1   0   0   2   8  53   7   1   0   0   0  99
Matheus_Cunha 26 bra  1  3  6 12 20 487 309 365 996  14   1 1236   2   0   0   4  14  56   7   0   4   0   0 100
A_Semenyo     26 gha  1  1  5 12 26 590 407 728  55   9   6  361   0   0   0   0   1  11   1   0   0   0   0 100
