Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
V_M_Savic     29 ser 12  1  1  1 22 207 723 902 361   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Meret    29 ita 11  1  1  1 20 850 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Ferrante    19 ita  9  1  1  1 20 834 859 507 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Buongiorno  26 ita  1 12  5  1 36 410 579 533 261   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sam_Beukema   27 hol  1 12  5  1 34 658 388 227 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Gutiierrez  24 spa  1 11  5  4 18 865 478 602 952   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Olivera     28 uru  1 11  4  4 18 692 363 870 392   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Rrahmani    32 kos  1 11  4  1 36  44 251 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Di_Lorenzo  32 ita  1 11  4  4 16 780 408  81 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Spinazzola  33 ita  1 10  4  4 18 110 550 550 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Mazzocchi   30 ita  1 10  4  3 16  90 660 650 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Jesus    34 bra  1 10  5  1 32 130 450 660 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_McTominay   29 sco  1  5 12  5 30 468 705 406 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Billy_Gilmour 24 sco  1  4 12  2 36 533 518 333 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Anguissa    30 cam  1  4 12  4 34 927  78 516 352   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_De_Bruyne   34 bel  1  2 11  4 22 220 660 880 885   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Lobotka     31 slo  1  4 11  2 36 586 921 298 947   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Vergara     23 ita  1  2 11  4 20 241 477 693  77   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eljif_Elmas   26 mac  1  2 11  3 18 110 355 766 455   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Hojlund     23 den  1  3  5 12 30 397 100 982 182   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Neres   29 bra  1  1  5 12 18 912 928 760 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Santos      23 bra  1  1  4 11 20 621 632 172 766   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Romelu_Lukaku 33 bel  1  3  4 11 34 220 830 883 827   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Giovane       22 bra  1  3  4 11 30 220 830 883 827   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100

