Pl   Team                      P    W   D   L    GF   GA   GD   Pts Form
--------------------------------------------------------------------------
1    Benfica                   1    1   0   0     3    0    3     3 -----W
2    Manchester_United         1    1   0   0     3    0    3     3 -----W
3    Ajax                      1    1   0   0     3    1    2     3 -----W
4    Atletico_Madrid           1    1   0   0     5    4    1     3 -----W
5    Tottenham_Hotspur         1    1   0   0     3    2    1     3 -----W
6    FC_Porto                  1    0   1   0     1    1    0     1 -----D
7    Inter_Milan               1    0   1   0     1    1    0     1 -----D
8    Atalanta                  1    0   0   1     4    5   -1     0 -----L
9    Sevilla                   1    0   0   1     2    3   -1     0 -----L
10   Arsenal                   1    0   0   1     1    3   -2     0 -----L
11   Borussia_Dortmund         1    0   0   1     0    3   -3     0 -----L
12   Napoli                    1    0   0   1     0    3   -3     0 -----L





