Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
O_Vlachodimos 32 gre 11  1  1  1 22 247 763 942 401   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Pickford    32 eng 12  1  1  1 24 243 540 540 540  13   0 1264   0  67  23   0   0   0   0   0   0   0   0 100
Orjun_Nyland  35 nor  9  1  1  1 20 890 514 514 514   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Sanchez     22 spa  1 12  5  4 16 450 943 678 371  12   0 1048   0   0   0  17   5   4   0   0   0   0   0  93
J_A_Carmona   24 spa  1 12  5  4 18 698 733 520 848  11   0 1016   0   0   0  16  10   7   2   1   0   0   0  96
Gabriel_Suazo 28 chl  1 12  5  4 16 732 271  38 661  13   1 1068   1   0   0  19   5   8   2   0   0   0   0  88
Oso           22 spa  1 12  5  4 14  84  61  13 550   9   2  690   1   0   0   9   6   4   0   0   0   0   0  89
Kike_Salas    24 spa  1 11  5  2 38 905 613 705  16  11   6  634   0   0   0   5   3   1   0   0   0   0   0  93
Marcao        29 bra  1 11  4  1 36 820 524 121 451   2   0  191   0   0   0   3   0   0   0   0   0   0   0 100
T_Nianzou     23 fra  1 11  6  1 38 158  80 100 308   5   3  291   0   0   0   1   2   0   0   0   0   0   0 100
Lucien_Agoume 24 fra  1  5 13  2 32 508 745 422 615  13   0 1052   0   0   0   0  29  10   0   5   0   0   0  93
E_Eze         27 eng  1  2 12  9 22 540 368 434 444  12   0 1072   2   0   0   0  19  24   6   0   4   0   0  93
Batista_Mendy 26 fra  1  5 12  2 36 573 697 710 346  12   1 1035   0   0   0   5  19   8   0   3   2   0   0  89
Nico_Guillen  18 spa  1  4 12  4 32 508 788 493 663  12   1 1075   1   0   0   2  32  11   2   5   6   0   0  93
Djibril_Sow   29 swi  1  4 11  5 26 967 152 760 560  10   8  461   0   0   0   0  10   6   1   1   0   0   0 100
Joan_Jordan   31 spa  1  3 10  4 26 281 507 787 107   2   0  134   0   0   0   0   4   0   0   0  10   0   0 100
Manu_Bueno    21 spa  1  4 10  3 28 261 633 878 818   3   2  144   0   0   0   1   4   0   0   0   0   0   0 100
Jaden_Sancho  26 eng  1  2  7 13 20 150 282 388 805   9   0  739   2   0   0   0   4  41   6   0   0   0   0  93
Akor_Adams    26 NIG  1  3  5 13 28 952 952 326 498   9   2  626   0   0   0   0   2  22   3   0  14   0   0 100
Ruben_Vargas  27 swi  1  1  6 13 20 437 157  81 449  12   2  960   1   0   0   0   2  44   5   0   0   0   0 100
Isaac_Romero  25 SPA  1  3  4 12 28 661 672 484 401   9   8  277   0   0   0   0   1  10   0   0   0   0   0 100
Neal_Maupay   29 fra  1  3  4 11 34 260 170 593 507   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Chidera_Ejuke 28 nig  1  1  4 11 18 143 163 495 978   2   2   48   0   0   0   0   0   3   1   0   0   0   0 100
Adnan_Januzaj 31 bel  1  1  4 10 16 150 707 934 995   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Fernandez   23 spa  1  3  4 10 32 143 263 816 816   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
