Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Carlos_Miquel 28 bra 13  1  1  1 20 137 185 193 205   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Hermansen   26 den 12  1  1  1 22 337 798 977 436   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Areola      34 fra 10  1  1  1 20 110 595 566 566   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Willian_Pacho 25 ecu  1 14  6  1 36 172 537 363 534   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alexsandro    27 bra  1 13  7  1 34 485 755  78 599   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Fedorco  26 arg  1 13  7  1 36 158 627 286 483   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Di_Lollo    23 arg  1 12  6  1 34 168 995 204 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danilo_Veiga  24 bra  1 12  6  4 20 550 888 186 793   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Khellven      26 bra  1 12  6  4 16 170 454  16 855   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Martinelli    25 bra  1  6 14  2 34 274 373  92 761   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hercules      26 bra  1  4 13  6 26 182 918 910 554   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Ordonez     22 arg  1  6 13  5 30 440 712 895 543   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Manuel_Ugarte 26 uru  2  5 13  3 34   3 706 892 875   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joel_Medina   19 arg  1  5 13  5 26 183 396 490 617   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Delgado     22 arg  1  6 12  2 36 170 190 850 665   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tomas_Soucek  32 cze  2  5 12  2 34   3 325  29 513   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pellegrino  25 arg  1  4  6 14 30 380 788  73  22   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Wallace_Yan   22 bra  1  3  6 14 24 172 510 735  91   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Guilherme   21 bra  1  2  5 13 18 180 705 925 865   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pablo         23 bra  1  3  6 12 28 295 405  50 343   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
