Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Petrovic    26 ser 18  1  1  1 20 671 805 305 305  12   0 1169   1 112  18   0   0   0   0   0   0   0   0 100
C_Mandas      24 gre 17  1  1  1 18 914 251 251 251   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Forster     38 eng 17  1  1  1 32 942 373 801 311   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Diakite     25 fra  1 19  5  2 36 570 275 196 455   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Truffert    24 fra  1 18  5  5 20 483 599 725 684   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Jimenez     20 spa  1 18  5  5 18 460 306 857 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Mil'vljevic 18 ser  1 18  5  1 38 712 384 671 342   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_Hill    24 eng  1 17  5  1 36 423 527 610 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Julio_Soler   21 arg  1 17  5  5 20 220 890 890 890   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Akinmboni   19 usa  1 15  5  1 34 110 550 550 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Scott    22 eng  1  5 19  7 20 305 802 864 500  12   0 1121   0   0   0   1  17  14   0   0   2   0   0  55
M_Tavernier   27 eng  1  2 18  5 28 110 787 765 262   7   6  256   0   0   0   1   7   4   1   0   0   0   0  94
Alex_Toth     20 hun  1  4 18  5 29 310  18 903 600  12   0 1169   0   0   0   2  19   3   0   0   2   0   0  54
Lewis_Cook    29 eng  1  4 17  6 27 305 539 988 998  11   0  841   0   0   0   0  11   2   0   0   0   0   0  94
Ryan_Christie 31 sco  1  4 16  5 33  96 791 204 629   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Junior_Kroupi 19 eng  1  4  6 19 32 593 863 522 815   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rayan         19 bra  1  3  5 19 20 472 963 835 122   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Evanilson     26 bra  1  3  5 18 20 916 111 135 744   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_G_Doak    20 sco  1  1  5 17 20 343 870 946 979  10   0  863   0   0   0   1   2  31   1   0   2   0   0  88
David_Brooks  28 wal  1  1  5 17 22 110 220 775 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Enes_Unal     28 tur  1  3  5 17 30 220 330 660 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
