Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
I_Meslier     26 fra 22  1  1  1 20 294 805 305 305   4   0  410   0  34   4   0   0   0   0   0   0   0   0 100
O_Goodman     23 can 17  1  1  1 18 515 251 251 251   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Flavell     23 eng 16  1  1  1 32 543 373 801 311   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_O'Keefe     28 ire  1 17  5  5 20 483  92 946 776   4   0  410   0   0   0   7   1   2   0   0   0   0   0  69
Georgie_Gent  23 eng  1 17  6  4 22 712  81  53 480   4   0  410   0   0   0   5   4   2   0   0   2   0   0  69
M_de_Gevigney 27 fra  1 17  5  1 36 423  69 918 633   4   0  410   0   0   0   9   4   1   0   1   0   0   0  69
Josh_Earl     28 eng  1 16  5  2 36 570 693 386 589   1   0   90   0   0   0   2   0   2   0   0  10   0   0 100
E_O'Connell   31 ire  1 16  6  1 38 460 615  21 420   3   0  317   1   0   0   7   2   0   0   1   2   0   0  74
Daniel_James  29 wal  1  2 18  7 20 305 900 338 730   4   0  410   1   0   0   0   8   3   1   1   2   0   0  69
C_Summerville 24 HOL  1  4 18  7 27 305 639 114 328   4   3  207   0   0   0   0   3   3   0   0   0   0   0  85
Kees_Smit     21 hol  1  4 18  5 28 110   5 647 680   4   1  343   0   0   0   0   8   3   0   0   0   0   0  84
G_Kamara      31 fin  1  7 17  4 29 310 112 191 639   3   0  317   0   0   0   0   9   3   0   1   4   0   0  74
P_Kelly       22 nir  1  5 17  3 36 580 803 256 887   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harvey_Elliot 23 eng  1  4 17  6 26 558 560  29 419   3   0  290   0   0   0   2  12   3   0   2   2   0   0 100
Luca_Connell  25 ire  1  6 16  2 33  96 116 814 729   1   0   93   0   0   0   1   1   0   0   0   0   0   0 100
Adam_Phillips 29 eng  1  4 16  4 32  26 956 623 559   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Bland       21 wal  1  4 16  2 31 570 440 999 506   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Reyes_Cleary  22 ENG  1  2  6 19 18 593 991 133 155   4   0  410   1   0   0   1   3  21   2   0   0   0   0  69
Denis_Undav   25 ger  1  2  6 19 33 654 555 328 834   8   0  540   1   0   0   1   5  19   3   0   2   0   0 100
C_Lennon      20 eng  1  1  5 17 20 916 328 573 570   4   0  270   0   0   0   0   1  10   3   0   0   0   0 100
B_Johnson     26 wal  1  1  5 17 20 343 967 328 577   4   0  270   0   0   0   0   4  10   3   0   2   0   0 100
Scott_Banks   25 sco  1  2  6 16 20 472  64 181 710   4   4  140   0   0   0   0   1   6   0   1   0   0   0 100
