Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jack_Bonham   32 ire 16  1  1  1 20 102 805 305 305   1   0   97   0   4   0   0   0   0   0   0   0   0   0 100
D_Harrington  25 wal 16  1  1  1 18 515 251 251 251   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nathan_Broome 23 eng 16  1  1  1 32 842 373 801 311   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eoin_Toal     27 nir  1 16  5  1 38 483 270  26 784   1   0   97   1   0   0   4   0   0   0   0   0   0   0  91
G_Johnston    27 sco  1 16  5  1 36 460 204 299 573   1   0   97   0   0   0   3   1   0   0   0   0   0   0  91
R_Taylor      25 eng  1 16  5  1 38 712 399  92 742   1   0   97   0   0   0   1   0   0   0   0   0   0   0  91
J_Osei_Tutu   27 eng  1 16  5  4 16 570 908 606 572   1   0   97   0   0   0   0   1   0   0   0   0   0   0  91
Chris_Forino  25 eng  1 16  5  1 36 423 142 910 624   1   0   97   0   0   0   1   0   0   0   0   0   0   0  91
Max_Conway    22 eng  1 16  4  4 20 220 527 191   5   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Xavier_Simons 23 eng  1  5 16  2 38 305 927 580 893   1   0   97   0   0   0   1   5   0   0   0   0   0   0  91
E_Erhahon     24 sco  1  4 16  4 28 110 915 221 476   1   0   45   0   0   0   0   2   0   0   0   0   0   0 100
R_Rodrigues   29 por  1  2 16  4 20 310 218 783  14   1   1   52   0   0   0   0   3   0   0   0   0   0   0 100
Josh_Sheehan  31 wal  1  4 16  4 27 305 614 313 111   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kyle_Dempsey  30 eng  1  4 16  4 33  96 791 214 629   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_C_Duberry   20 eng  1  1  5 16 20 593  64 922 619   1   0   97   0   0   0   0   0   1   0   0   0   0   0  91
Rob_Apter     22 sco  1  1  5 16 20 472 188 234 969   1   0   97   0   0   0   0   0   0   0   0   0   0   0  91
Mason_Burstow 22 eng  1  3  5 16 28 916 211 335 154   1   0   45   0   0   0   0   0   1   0   0   0   0   0 100
Marcus_Forss  26 fin  1  3  5 16 30 343  71 347 765   1   1   52   0   0   0   0   0   1   0   0   0   0   0 100
Sam_Dalby     26 eng  1  2  4 16 22 110 320 975 176   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jonny_Kenny   22 ire  1  2  4 16 30 220 430 860   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
