Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Vicario     30 ita 21  3  2  1 22  73 431 942 882   8   0  765   1  79  26   0   0   0   0   0   0   0   0 100
Alisson       34 bra 14  1  1  1 20 691 326 326 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Gomez       22 arg  1 18  5  1 36 530 525 670 444   1   0   96   0   0   0   1   0   1   0   0   0   0   0  93
V_van_Dijk    35 hol  1 16  7  2 36 551 611 854 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joe_Gomez     29 eng  1 15  7  3 38 701 421 289 263   8   0  765   0   0   0  12   7   3   1   0   2   0   0  59
I_Konate      27 fra  1 15  5  2 40 476 523 582  62   8   0  724   0   0   0  11   2   1   0   0  12   0   1  68
I_Sangare     31 ivo  1  7 18  3 34 327 138   1 375   1   0    0   0   0   0   1   2   0   0   0   0   0   0  93
A_Milambo     22 hol  1  5 18  5 27 781 834 447 646   8   0  765   0   0   0   1  18   2   0   0   0   0   0  59
Ismael_Kone   23 can  1  5 18  4 28 360 814 683 188   1   0   95   0   0   0   0   1   0   0   0   0   0   0  93
C_Chukwuemeka 23 eng  1  5 18  4 36 385 377 719 417   4   1  327   0   0   0   0   8   5   2   0   2   0   0  85
Mo_Salah      34 egy  1  2  6 21 20 419 605 428 196   4   4  127   0   0   0   0   1  12   1   0   0   0   0 100
E_Zhegrova    27 KOS  1  2  6 19 18 608 270 551 347   8   4  379   0   0   0   1   4  14   2   0   2   0   0 100
G_Raspadori   24 ita  1  4  6 18 30 140 396 834  47   1   0    0   0   0   0   0   1   6   2   0   0   0   0  85
C_Ronaldo     42 por  1  3  7 15 24 332 405 395 627   8   4  386   0   0   0   2   4  12   0   1   2   0   0 100
O_Dembele     30 fra  1  3  6 15 28 480 534 187 258   4   4  111   0   0   0   0   0   9   0   0   0   0   0 100
