Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Andre_Gomes   22 por 27  2  3  2 32 342 723 902 361   4   0  378   0  21   1   0   0   0   0   0   0   0   0 100
L_Chevalier   25 fra 20  1  1  1 20  50 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Westerveld  24 hol 14  2  3  2 20 834 859 507 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bayindir    29 tur 12  3  3  2 40 908 121 934 315   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Malo_Gusto    23 FRA  2 20  9 11 21 410 469 428 227   4   0  378   1   0   0   4   4   7   2   0   0   0   0 100
R_J_Garcia    25 arg  1 18  7  8 20 658 310 176 591   3   0  283   0   0   0   2   1   1   0   1   2   0   0 100
Lenny_Yoro    21 fra  2 18 12  4 38 865 428 570 965   4   0  378   0   0   0   5   5   0   0   1   2   0   0 100
Angelo        21 bra  2 18  7  9 18 692 267  51 400   2   0  189   0   0   0   2   1   5   0   0   2   0   0 100
Jack_Kingdon  21 sco  2 16  8  3 38  44 223 386 440   2   0  189   0   0   0   3   1   1   0   0   2   0   0 100
Samuel_Dahl   21 swe  1 15  7  4 26 780 346  64 397   3   2  267   0   0   0   3   3   3   0   1   0   0   0 100
Joao_Neves    22 POR  2  9 28  7 24 564 160 343 276   3   0  283   0   0   0   0   8   2   1   0   2   0   0 100
Kobbie_Mainoo 22 eng  2  6 25  8 25 468 657 378 391   2   0  189   0   0   0   0   5   1   0   2   0   0   0 100
Jo_Bellingham 21 eng  2  6 25  9 32 533 504 300 148   3   0  283   1   0   0   0   8   6   1   3   2   0   0 100
Rodrigo_Mora  19 por  2  6 21 10 18 927  54 496 352   2   0  189   0   0   0   1   3   4   1   1   2   0   0 100
K_Akturkoglu  28 tur  1  1 19  7 20 586 921 298 947   1   0   95   0   0   0   0   1   0   0   0   0   0   0 100
IIaix_Moriba  20 sen  2  5 18  7 38 241 463 623  39   3   2  267   0   0   0   0   8   7   1   0   0   0   0 100
Bukayo_Saka   25 eng  2  5 10 24 21 591 731  38  33   4   1  139   0   0   0   1   1   7   1   0   0   0   0 100
J_David       27 can  1  4  6 22 20 397 100  82 254   4   0  269   2   0   0   2   0  19   6   0   0   0   0 100
A_Isak        27 swe  1  2  7 21 38 912 931 703 579   4   3  176   0   0   0   0   1   4   0   0   0   0   0 100
Jhon_Duran    22 col  1  3  6 20 26 621 635 115 957   4   0  206   0   0   0   0   2   7   1   1   0   0   0 100
