Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Nick_Pope     35 eng 28  1  1  1 34 517 612 462 312   1   0   98   0   3   0   0   0   0   0   0   0   0   0 100
G_Montiel     29 ARG  1 18  7  7 21 276 893  70 448   1   0   98   1   0   0   2   0   1   1   0   0   0   0  91
S_Botman      27 HOL  1 18  9  3 34 402  87 608 407   1   0   98   0   0   0   2   0   1   0   0   0   0   0  91
Danilo        35 bra  1 16  7  1 36 276 968 790 579   1   0   98   0   0   0   0   1   0   0   0   0   0   0  91
Mario_Hermoso 31 spa  1 16  7  1 36 238 469 720 597   1   0   98   0   0   0   2   0   0   0   0   0   0   0  91
J_Kimmich     32 ger  1 14  6  5 29 457  47 852 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Elias_Baum    20 ger  1 15  4  5 21 308 592 697 505   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nico_Williams 23 esp  1  3 19  6 19 376  66 862  28   1   0   98   0   0   0   0   1   0   0   0   2   0   0  91
M_Gibbs-White 26 eng  1  2 19  8 18 858 517 232 151   1   0   98   0   0   0   0   0   0   0   0   0   0   0  91
D_Augusto     30 bra  1  5 18  6 36 706 546 345 679   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_St-Maximin  29 fra  1  2 17  8 22 411 634 793   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Dominguez   28 arg  1  5 17  6 26 176 139 719 606   1   0   98   0   0   0   0   4   0   0   1   0   0   0  91
Andre         25 bra  1  7 17  2 34 463 201 102 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Can_Uzun      20 tur  1  1 16  6 22 170 584 124 367   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Martel   24 ger  1  6 15  2 36 166 559 748 611   1   0   64   0   0   0   0   1   0   0   0   0   0   0 100
Fred          33 bra  1  3 14  5 20 504 823 503 664   1   1   34   0   0   0   0   1   0   0   0   0   0   0 100
Noah_Fenyo    19 hun  1  5 14  3 35 352 481 519 761   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bryan_Mbuemo  26 fra  1  1  8 19 20 362 762 604 125   1   0   98   0   0   0   0   0   2   1   0   0   0   0  91
C_Pulisic     29 usa  1  3  7 18 24 420 276 820 827   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Dennis      28 nig  1  4  6 18 28 176  67 863 580   1   1   24   0   0   0   0   0   1   1   0   0   0   0 100
V_Osimhen     29 nig  1  4  8 18 30 267 874  69  32   1   0   74   0   0   0   0   0   3   1   0   0   0   0 100
S_Aghehowa    22 spa  1  2  7 18 32 332 247 492  55   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Martial     31 fra  1  2  5 15 28 244 995 875 162   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Donaldson   22 eng  1  3  6 15 30 755 930 391 378   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
