Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Kuijsten    22 hol 28  2  2  1 24 293  66 816 840   6   0  530   0  42   6   0   0   0   0   0   0   0   0 100
Oscar_Glover  21 eng 15  1  2  1 21 687 641   9 730   7   3  451   0  30   6   0   0   0   0   0   0   0   0 100
Andres_Cuenca 19 spa  1 17  9  3 38 742 606 378 988   8   2  599   1   0   0  13   5   3   1   1   4   0   0 100
Michael_Ani   20 eng  1 17  8  4 38 755 196 784 134  10   0  891   0   0   0   9   6   3   0   1   2   0   0 100
Ciaran_Martin 20 eng  1 17  8  4 40 830  43 907 173   9   0  857   0   0   0   3   7   3   1   1  12   0   0 100
C_Ogilvie     31 ENG  1 16  9  7 32 943 978 262 975   5   1  394   1   0   0   9   6   2   0   0   0   0   0 100
J_Quansah     24 eng  1 15  8  3 34 740 921 199  24   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Anderson    19 eng  1 15  6  4 28 800 972 566 506   1   0   49   0   0   0   0   1   0   0   0  10   0   1 100
Declan_Rice   29 eng  1  9 21  5 32 497 191 897 231  10   0  955   0   0   0   5  22   4   0   4   0   0   0 100
Harry_Clout   21 eng  1  6 20  8 21 850 244 578 356   5   0  387   1   0   0   2  11   4   1   2   2   0   0 100
Joao_Vitor    21 bra  1  5 19  7 20 855 650 160 251   7   0  670   0   0   0   3  15   4   1   2   0   0   0 100
Savinho       22 bra  1  3 19  7 20 772 727  11 276   6   0  473   0   0   0   3  12   5   0   2   2   0   0 100
Terry_Devlin  23 nir  1  6 18  5 22 637 569 128 690   4   1  282   0   0   0   0   8   1   0   0   2   0   0 100
W_Z_Emery     21 fra  1  6 18  7 31 986  47 208 509   5   1  372   0   0   0   0  14   3   0   3   0   0   0 100
Jevon_Simons  22 hol  1  5 17  8 24 921 416  60  36   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Layton  19 eng  1 10 15  5 29 760 851 129 591   7   2  412   0   0   0   3   3   1   0   1  10   0   0 100
Colby_Bishop  30 eng  1  3  8 24 26 790 577 858 306  10   0  955   5   0   0   1   7  44  12   2   2   0   0 100
Conor_Chaplin 29 eng  1  3  7 18 22 170 795 133 377  10   0  955   1   0   0   0   4  39   4   0   0   0   0 100
Pablo_Garcia  20 SPA  1  2  6 17 20 250 707 628  56   9   2  735   0   0   0   0   3  15   3   1   2   0   0 100
Joao          21 bra  1  2  7 16 36 798 778 258 483   7   4  418   1   0   0   0   4  16   3   1   2   0   0 100
