Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Patterson   27 eng 25  2  2  2 20   6 959 584 659   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Salko_Hamzic  20 aut 25  1  1  1 24 533 366 565 565   4   0  382   0  30   7   0   0   0   0   0   0   0   0 100
Nathan_Bishop 27 spa 14  2  2  2 18 280 544 169 244   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Amar_Dadic    23 bos  1 17  6  6 20 140 197 845 218   4   0  382   0   0   0   8   6   2   0   1   0   0   0 100
Juan_Iglesias 27 spa  1 17  5  5 16 626 600 244 167   1   0   97   0   0   0   1   2   0   0   0   0   0   0 100
Dennis_Cirkin 25 eng  2 16  7  7 22 550 794 412 252   2   0  192   0   0   0   2   2   1   0   0   0   0   0 100
S_Boselli     22 uru  1 16  5  1 34 332 990 758  19   3   0  287   0   0   0   5   2   0   0   0   0   0   0 100
Pablo_Mafeo   28 arg  1 16  5  5 16 332 993 699   2   3   0  286   0   0   0   4   0   1   0   0   0   0   0 100
Conor_Coady   33 eng  1 15  7  2 36 858 564 466 782   4   0  382   1   0   0   5   3   2   1   0   2   0   0 100
D_Ballard     27 nir  2 15  7  3 38 528 952 818 393   4   2  226   0   0   0   4   1   1   0   0   2   0   0 100
Gavi          22 spa  3  6 22  9 22 195 252 345 524   4   0  382   0   0   0   0   6  12   0   0   0   0   0 100
D_Zakaria     30 swi  1  6 20  4 39 856 342 172 162   3   0  245   0   0   0   2  12   0   0   1  10   0   0 100
Alex_Luna     20 arg  2  6 19  9 24 106 796 884 377   4   0  250   0   0   0   0   6   4   0   0   2   0   0 100
Nonato        28 bra  1  6 19  8 28 460 179 470 337   4   3  186   0   0   0   0   3   3   0   1  10   0   1 100
Y_Asprilla    21 COL  2  4 18  9 16  19 219 284 241   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yves_Bissouma 30 mal  2  6 18  3 41  59 937 638 370   4   1  319   0   0   0   1   9   0   0   1   0   0   0 100
V_Sulzbacher  21 AUT  1  6 17  5 30 150 243 255 613   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lorran        21 bra  1  2 16  8 18 495 793 228   5   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Neymar        35 bra  1  3  8 26 26 930 484 830 138   4   0  382   2   0   0   0   1  23   6   0   0   0   0 100
E_Ferguson    23 eng  1  3  7 22 22 572 913 750 595   3   0  229   0   0   0   0   1  15   2   0   0   0   0 100
W_Gnonto      21 ita  1  3  8 16 18 838  54 758 286   4   4  112   0   0   0   0   0   4   0   0   0   0   0 100

